ID	GO_ID
FxaC_10g33980	GO:0006629
FxaC_10g33980	GO:0008374
FxaC_10g38750	GO:0003677
FxaC_10g38750	GO:0046982
FxaC_10g39830	GO:0000786
FxaC_10g39830	GO:0003677
FxaC_10g39830	GO:0046982
FxaC_10g39960	GO:0003677
FxaC_10g39960	GO:0046982
FxaC_11g18050	GO:0045735
FxaC_11g18560	GO:0003677
FxaC_11g18560	GO:0003700
FxaC_11g18560	GO:0006355
FxaC_11g24780	GO:0003700
FxaC_11g24780	GO:0045893
FxaC_11g25770	GO:0003676
FxaC_11g25770	GO:0004535
FxaC_11g25770	GO:0030014
FxaC_11g35760	GO:0003677
FxaC_11g35760	GO:0046982
FxaC_11g36610	GO:0003677
FxaC_11g36610	GO:0046982
FxaC_11g36720	GO:0000786
FxaC_11g36720	GO:0003677
FxaC_11g36720	GO:0046982
FxaC_11g36760	GO:0000786
FxaC_11g36760	GO:0003677
FxaC_11g36760	GO:0046982
FxaC_12g09120	GO:0016791
FxaC_12g10320	GO:0000786
FxaC_12g10320	GO:0003677
FxaC_12g10320	GO:0046982
FxaC_12g10350	GO:0000786
FxaC_12g10350	GO:0003677
FxaC_12g10350	GO:0046982
FxaC_12g10480	GO:0003677
FxaC_12g10480	GO:0046982
FxaC_12g11430	GO:0003677
FxaC_12g11430	GO:0046982
FxaC_12g22310	GO:0003700
FxaC_12g22310	GO:0006355
FxaC_12g22310	GO:0045893
FxaC_12g28640	GO:0003677
FxaC_12g28640	GO:0006355
FxaC_12g41330	GO:0003677
FxaC_12g41330	GO:0003700
FxaC_12g41330	GO:0006355
FxaC_13g12771	GO:0005515
FxaC_13g12771	GO:0008270
FxaC_14g00650	GO:0005506
FxaC_14g00650	GO:0016705
FxaC_14g00650	GO:0020037
FxaC_14g00650	GO:0055114
FxaC_14g08571	GO:0004601
FxaC_14g08571	GO:0006979
FxaC_14g08571	GO:0020037
FxaC_14g08571	GO:0055114
FxaC_14g15240	GO:0009733
FxaC_14g27010	GO:0004869
FxaC_15g00430	GO:0005506
FxaC_15g00430	GO:0016705
FxaC_15g00430	GO:0020037
FxaC_15g00430	GO:0055114
FxaC_15g14130	GO:0016747
FxaC_15g33350	GO:0005524
FxaC_16g12910	GO:0004869
FxaC_16g18970	GO:0016747
FxaC_16g20110	GO:0003830
FxaC_16g20110	GO:0006487
FxaC_16g20110	GO:0016020
FxaC_16g20840	GO:0008270
FxaC_16g20840	GO:0005515
FxaC_16g23231	GO:0004601
FxaC_16g23231	GO:0006979
FxaC_16g23231	GO:0020037
FxaC_16g23231	GO:0055114
