ID	GO_ID
FxaC_10g00860	GO:0009765
FxaC_10g00860	GO:0016020
FxaC_10g02870	GO:0004553
FxaC_10g02870	GO:0005975
FxaC_10g02870	GO:0030246
FxaC_10g04200	GO:0005509
FxaC_10g04200	GO:0009523
FxaC_10g04200	GO:0009654
FxaC_10g04200	GO:0015979
FxaC_10g04200	GO:0019898
FxaC_10g04880	GO:0004601
FxaC_10g04880	GO:0006979
FxaC_10g04880	GO:0020037
FxaC_10g04880	GO:0055114
FxaC_10g04891	GO:0015986
FxaC_10g04891	GO:0045261
FxaC_10g04891	GO:0046933
FxaC_10g05090	GO:0005507
FxaC_10g05090	GO:0016491
FxaC_10g05090	GO:0055114
FxaC_10g06300	GO:0046872
FxaC_10g06940	GO:0005509
FxaC_10g06940	GO:0005515
FxaC_10g06940	GO:0005525
FxaC_10g07210	GO:0003677
FxaC_10g07210	GO:0005634
FxaC_10g07210	GO:0006355
FxaC_10g07210	GO:0009725
FxaC_10g07291	GO:0000786
FxaC_10g07291	GO:0003677
FxaC_10g07291	GO:0046982
FxaC_10g07320	GO:0008168
FxaC_10g07320	GO:0008171
FxaC_10g07320	GO:0046983
FxaC_10g08810	GO:0005515
FxaC_10g09550	GO:0016021
FxaC_10g09550	GO:0022857
FxaC_10g09550	GO:0055085
FxaC_10g10580	GO:0005515
FxaC_10g10580	GO:0051087
FxaC_10g14580	GO:0004672
FxaC_10g14580	GO:0005515
FxaC_10g14580	GO:0005524
FxaC_10g14580	GO:0006468
FxaC_10g14830	GO:0004190
FxaC_10g14830	GO:0006508
FxaC_10g15070	GO:0016021
FxaC_10g15070	GO:0022857
FxaC_10g15070	GO:0055085
FxaC_10g16380	GO:0004672
FxaC_10g16380	GO:0005515
FxaC_10g16380	GO:0005524
FxaC_10g16380	GO:0006468
FxaC_10g17520	GO:0009523
FxaC_10g17520	GO:0009654
FxaC_10g17520	GO:0015979
FxaC_10g17520	GO:0042651
FxaC_10g17720	GO:0003824
FxaC_10g17720	GO:0010181
FxaC_10g17720	GO:0016491
FxaC_10g17720	GO:0055114
FxaC_10g19840	GO:0004672
FxaC_10g19840	GO:0005515
FxaC_10g19840	GO:0005524
FxaC_10g19840	GO:0006468
FxaC_10g20820	GO:0045735
FxaC_10g22780	GO:0009765
FxaC_10g22780	GO:0016020
FxaC_10g22830	GO:0005216
FxaC_10g22830	GO:0006811
FxaC_10g22830	GO:0016020
FxaC_10g22830	GO:0055085
FxaC_10g29360	GO:0004672
FxaC_10g29360	GO:0005515
FxaC_10g29360	GO:0005524
FxaC_10g29360	GO:0006468
FxaC_10g31060	GO:0003824
FxaC_10g31060	GO:0016788
FxaC_10g32150	GO:0016491
FxaC_10g32150	GO:0020037
FxaC_10g32150	GO:0050311
FxaC_10g32150	GO:0051536
FxaC_10g32150	GO:0051539
FxaC_10g32150	GO:0055114
FxaC_10g36670	GO:0015267
FxaC_10g36670	GO:0016020
FxaC_10g36670	GO:0055085
FxaC_10g38750	GO:0003677
FxaC_10g38750	GO:0046982
FxaC_10g39710	GO:0000786
FxaC_10g39710	GO:0003677
FxaC_10g39710	GO:0046982
FxaC_10g39740	GO:0000786
FxaC_10g39740	GO:0003677
FxaC_10g39740	GO:0046982
FxaC_10g39750	GO:0003677
FxaC_10g39750	GO:0046982
FxaC_10g39760	GO:0003677
FxaC_10g39760	GO:0046982
FxaC_10g39830	GO:0000786
FxaC_10g39830	GO:0003677
FxaC_10g39830	GO:0046982
FxaC_10g39960	GO:0003677
FxaC_10g39960	GO:0046982
FxaC_10g40720	GO:0046872
FxaC_10g41010	GO:0005576
FxaC_10g41010	GO:0009664
FxaC_10g41620	GO:0005524
FxaC_10g41620	GO:0016887
FxaC_10g41690	GO:0055114
FxaC_10g42590	GO:0004553
FxaC_10g42590	GO:0005975
FxaC_10g43490	GO:0006629
FxaC_10g43490	GO:0016717
FxaC_10g43490	GO:0055114
FxaC_10g46380	GO:0005515
FxaC_10g46380	GO:0009638
FxaC_10g46460	GO:0005515
FxaC_10g46920	GO:0008428
FxaC_10g46920	GO:0051252
FxaC_10g47800	GO:0004672
FxaC_10g47800	GO:0005515
FxaC_10g47800	GO:0005524
FxaC_10g47800	GO:0006468
FxaC_10g48200	GO:0004672
FxaC_10g48200	GO:0005524
FxaC_10g48200	GO:0006468
FxaC_11g01930	GO:0016021
FxaC_11g03360	GO:0008194
FxaC_11g03591	GO:0009765
FxaC_11g03591	GO:0016020
FxaC_11g05270	GO:0006508
FxaC_11g05270	GO:0008234
FxaC_11g05961	GO:0000786
FxaC_11g05961	GO:0003677
FxaC_11g05961	GO:0046982
FxaC_11g06260	GO:0016021
FxaC_11g06260	GO:0022857
FxaC_11g06260	GO:0055085
FxaC_11g09220	GO:0008194
FxaC_11g12320	GO:0046658
FxaC_11g14970	GO:0000290
FxaC_11g15150	GO:0009523
FxaC_11g15150	GO:0009654
FxaC_11g15150	GO:0015979
FxaC_11g15150	GO:0042651
FxaC_11g15460	GO:0003824
FxaC_11g15460	GO:0010181
FxaC_11g15460	GO:0016491
FxaC_11g15460	GO:0055114
FxaC_11g16030	GO:0009765
FxaC_11g16030	GO:0016020
FxaC_11g16320	GO:0008194
FxaC_11g16350	GO:0016020
FxaC_11g18050	GO:0045735
FxaC_11g19790	GO:0016630
FxaC_11g19790	GO:0055114
FxaC_11g20420	GO:0009765
FxaC_11g20420	GO:0016020
FxaC_11g20520	GO:0005216
FxaC_11g20520	GO:0006811
FxaC_11g20520	GO:0016020
FxaC_11g20520	GO:0055085
FxaC_11g21360	GO:0000786
FxaC_11g21360	GO:0003677
FxaC_11g21360	GO:0046982
FxaC_11g24050	GO:0016020
FxaC_11g24050	GO:0022857
FxaC_11g24050	GO:0055085
FxaC_11g26600	GO:0055114
FxaC_11g29630	GO:0044183
FxaC_11g29630	GO:0110102
FxaC_11g33340	GO:0015267
FxaC_11g33340	GO:0016020
FxaC_11g33340	GO:0055085
FxaC_11g36600	GO:0000786
FxaC_11g36600	GO:0003677
FxaC_11g36600	GO:0046982
FxaC_11g36610	GO:0003677
FxaC_11g36610	GO:0046982
FxaC_11g36620	GO:0003677
FxaC_11g36620	GO:0046982
FxaC_11g36650	GO:0000786
FxaC_11g36650	GO:0003677
FxaC_11g36650	GO:0046982
FxaC_11g36701	GO:0000786
FxaC_11g36701	GO:0003677
FxaC_11g36701	GO:0046982
FxaC_11g36760	GO:0000786
FxaC_11g36760	GO:0003677
FxaC_11g36760	GO:0046982
FxaC_11g37420	GO:0046872
FxaC_11g39680	GO:0004553
FxaC_11g39680	GO:0005975
FxaC_11g42430	GO:0005576
FxaC_11g42430	GO:0009664
FxaC_11g43180	GO:0005506
FxaC_11g43180	GO:0016705
FxaC_11g43180	GO:0020037
FxaC_11g43180	GO:0055114
FxaC_11g44320	GO:0004672
FxaC_11g44320	GO:0005515
FxaC_11g44320	GO:0005524
FxaC_11g44320	GO:0006468
FxaC_11g45521	GO:0004672
FxaC_11g45521	GO:0005524
FxaC_11g45521	GO:0006468
FxaC_12g04100	GO:0004672
FxaC_12g04100	GO:0005515
FxaC_12g04100	GO:0005524
FxaC_12g04100	GO:0006468
FxaC_12g05630	GO:0005515
FxaC_12g05641	GO:0004672
FxaC_12g05641	GO:0005515
FxaC_12g05641	GO:0005524
FxaC_12g05641	GO:0006468
FxaC_12g07540	GO:0006629
FxaC_12g07540	GO:0016717
FxaC_12g07540	GO:0055114
FxaC_12g08440	GO:0004553
FxaC_12g08440	GO:0005975
FxaC_12g09230	GO:0005524
FxaC_12g09230	GO:0016887
FxaC_12g10190	GO:0046872
FxaC_12g10320	GO:0000786
FxaC_12g10320	GO:0003677
FxaC_12g10320	GO:0046982
FxaC_12g10350	GO:0000786
FxaC_12g10350	GO:0003677
FxaC_12g10350	GO:0046982
FxaC_12g10480	GO:0003677
FxaC_12g10480	GO:0046982
FxaC_12g10840	GO:0003677
FxaC_12g10840	GO:0046982
FxaC_12g10850	GO:0000786
FxaC_12g10850	GO:0003677
FxaC_12g10850	GO:0046982
FxaC_12g10890	GO:0000786
FxaC_12g10890	GO:0003677
FxaC_12g10890	GO:0046982
FxaC_12g11430	GO:0003677
FxaC_12g11430	GO:0046982
FxaC_12g13370	GO:0015267
FxaC_12g13370	GO:0016020
FxaC_12g13370	GO:0055085
FxaC_12g16520	GO:0005267
FxaC_12g16520	GO:0005509
FxaC_12g16520	GO:0016020
FxaC_12g16520	GO:0071805
FxaC_12g17310	GO:0044183
FxaC_12g17310	GO:0110102
FxaC_12g18150	GO:0003824
FxaC_12g28090	GO:0005216
FxaC_12g28090	GO:0006811
FxaC_12g28090	GO:0016020
FxaC_12g28090	GO:0055085
FxaC_12g28810	GO:0016630
FxaC_12g28810	GO:0055114
FxaC_12g32520	GO:0016020
FxaC_12g33330	GO:0009765
FxaC_12g33330	GO:0016020
FxaC_12g34160	GO:0009523
FxaC_12g34160	GO:0009654
FxaC_12g34160	GO:0015979
FxaC_12g34160	GO:0042651
FxaC_12g38700	GO:0009522
FxaC_12g38700	GO:0009538
FxaC_12g38700	GO:0015979
FxaC_12g39140	GO:0008194
FxaC_12g41430	GO:0016021
FxaC_12g41430	GO:0022857
FxaC_12g41430	GO:0055085
FxaC_12g43430	GO:0016747
FxaC_12g43780	GO:0016021
FxaC_12g44010	GO:0009765
FxaC_12g44010	GO:0016020
FxaC_12g45350	GO:0003824
FxaC_12g47620	GO:0000786
FxaC_12g47620	GO:0003677
FxaC_12g47620	GO:0046982
FxaC_12g47650	GO:0005524
FxaC_12g47650	GO:0007018
FxaC_12g47650	GO:0008017
FxaC_12g47650	GO:1990939
FxaC_12g48590	GO:0004601
FxaC_12g48590	GO:0006979
FxaC_12g48590	GO:0020037
FxaC_12g48590	GO:0055114
FxaC_12g48850	GO:0004047
FxaC_12g48850	GO:0005515
FxaC_12g48850	GO:0006546
FxaC_12g49460	GO:0005515
FxaC_12g49460	GO:0061630
FxaC_12g49840	GO:0016020
FxaC_12g49840	GO:0022857
FxaC_12g49840	GO:0055085
FxaC_12g50260	GO:0046872
FxaC_13g03380	GO:0016702
FxaC_13g03380	GO:0055114
FxaC_13g03531	GO:0004650
FxaC_13g03531	GO:0005975
FxaC_13g03550	GO:0003712
FxaC_13g03550	GO:0005634
FxaC_13g03632	GO:0000786
FxaC_13g03632	GO:0003677
FxaC_13g03632	GO:0005634
FxaC_13g03632	GO:0006334
FxaC_13g05480	GO:0006952
FxaC_13g07530	GO:0005576
FxaC_13g07530	GO:0009664
FxaC_13g08960	GO:0043622
FxaC_13g09810	GO:0008194
FxaC_13g09980	GO:0004842
FxaC_13g09980	GO:0005515
FxaC_13g09980	GO:0016567
FxaC_13g11240	GO:0003824
FxaC_13g11240	GO:0006596
FxaC_13g11510	GO:0016020
FxaC_13g11510	GO:0022857
FxaC_13g11510	GO:0055085
FxaC_13g11580	GO:0003824
FxaC_13g11580	GO:0004553
FxaC_13g11580	GO:0005975
FxaC_13g11580	GO:0030246
FxaC_13g14070	GO:0004568
FxaC_13g14070	GO:0005975
FxaC_13g14070	GO:0006032
FxaC_13g14070	GO:0016998
FxaC_13g14100	GO:0008194
FxaC_13g14750	GO:0004672
FxaC_13g14750	GO:0005515
FxaC_13g14750	GO:0005524
FxaC_13g14750	GO:0006468
FxaC_13g15630	GO:0008194
FxaC_13g17110	GO:0003824
FxaC_13g17110	GO:0004553
FxaC_13g17110	GO:0005975
FxaC_13g17110	GO:0030246
FxaC_13g19760	GO:0005515
FxaC_13g20620	GO:0009523
FxaC_13g20620	GO:0015979
FxaC_13g20620	GO:0016021
FxaC_13g20620	GO:0030145
FxaC_13g21820	GO:0005506
FxaC_13g21820	GO:0016705
FxaC_13g21820	GO:0020037
FxaC_13g21820	GO:0055114
FxaC_13g21920	GO:0009765
FxaC_13g21920	GO:0016020
FxaC_13g22010	GO:0045492
FxaC_13g23940	GO:0006629
FxaC_13g23940	GO:0008081
FxaC_13g24040	GO:0016787
FxaC_13g24050	GO:0000981
FxaC_13g24050	GO:0003700
FxaC_13g24050	GO:0006355
FxaC_13g24050	GO:0045944
FxaC_13g29580	GO:0009507
FxaC_13g32890	GO:0009522
FxaC_13g32890	GO:0009538
FxaC_13g32890	GO:0015979
FxaC_13g32900	GO:0005515
FxaC_13g32900	GO:0016491
FxaC_13g32900	GO:0016702
FxaC_13g32900	GO:0046872
FxaC_13g32900	GO:0055114
FxaC_13g35480	GO:0004672
FxaC_13g35480	GO:0005524
FxaC_13g35480	GO:0006468
FxaC_13g38020	GO:0004864
FxaC_13g38020	GO:0006952
FxaC_13g38020	GO:0009738
FxaC_13g38020	GO:0010427
FxaC_13g38020	GO:0038023
FxaC_13g50520	GO:0009644
FxaC_13g50520	GO:0009773
FxaC_13g50880	GO:0003676
FxaC_13g51170	GO:0016491
FxaC_13g51170	GO:0055114
FxaC_13g51590	GO:0005515
FxaC_13g53620	GO:0010088
FxaC_13g53740	GO:0005515
FxaC_13g53740	GO:0005634
FxaC_13g53740	GO:0006355
FxaC_14g00330	GO:0000287
FxaC_14g00330	GO:0003824
FxaC_14g00330	GO:0004743
FxaC_14g00330	GO:0006096
FxaC_14g00330	GO:0030955
FxaC_14g01780	GO:0005504
FxaC_14g01780	GO:0009627
FxaC_14g02780	GO:0004864
FxaC_14g02780	GO:0006952
FxaC_14g02780	GO:0009738
FxaC_14g02780	GO:0010427
FxaC_14g02780	GO:0038023
FxaC_14g02960	GO:0016702
FxaC_14g02960	GO:0055114
FxaC_14g03710	GO:0000785
FxaC_14g03710	GO:0000786
FxaC_14g03710	GO:0003677
FxaC_14g03710	GO:0005634
FxaC_14g03710	GO:0006334
FxaC_14g03710	GO:0006355
FxaC_14g04800	GO:0004672
FxaC_14g04800	GO:0005515
FxaC_14g04800	GO:0005524
FxaC_14g04800	GO:0006468
FxaC_14g05880	GO:0004672
FxaC_14g05880	GO:0005515
FxaC_14g05880	GO:0005524
FxaC_14g05880	GO:0006468
FxaC_14g07020	GO:0016757
FxaC_14g07502	GO:0016021
FxaC_14g07502	GO:0022857
FxaC_14g07502	GO:0071705
FxaC_14g07742	GO:0043622
FxaC_14g09870	GO:0003824
FxaC_14g09870	GO:0004553
FxaC_14g09870	GO:0005975
FxaC_14g09870	GO:0030246
FxaC_14g12240	GO:0005515
FxaC_14g14400	GO:0009765
FxaC_14g14400	GO:0016020
FxaC_14g16010	GO:0003755
FxaC_14g16020	GO:0004497
FxaC_14g16020	GO:0005506
FxaC_14g16020	GO:0016705
FxaC_14g16020	GO:0020037
FxaC_14g16020	GO:0055114
FxaC_14g19630	GO:0004864
FxaC_14g19630	GO:0006952
FxaC_14g19630	GO:0009738
FxaC_14g19630	GO:0010427
FxaC_14g19630	GO:0038023
FxaC_14g22120	GO:0003824
FxaC_14g22120	GO:0008661
FxaC_14g22120	GO:0016114
FxaC_14g23310	GO:0046872
FxaC_14g23920	GO:0016787
FxaC_14g24250	GO:0005515
FxaC_14g24250	GO:0016491
FxaC_14g24250	GO:0016702
FxaC_14g24250	GO:0046872
FxaC_14g24250	GO:0055114
FxaC_14g27700	GO:0004672
FxaC_14g27700	GO:0005515
FxaC_14g27700	GO:0005524
FxaC_14g27700	GO:0006468
FxaC_14g28220	GO:0004568
FxaC_14g28220	GO:0005975
FxaC_14g28220	GO:0006032
FxaC_14g28220	GO:0016998
FxaC_14g35530	GO:0004252
FxaC_14g35530	GO:0006508
FxaC_14g35530	GO:0008236
FxaC_15g00080	GO:0000287
FxaC_15g00080	GO:0003824
FxaC_15g00080	GO:0004743
FxaC_15g00080	GO:0006096
FxaC_15g00080	GO:0030955
FxaC_15g01421	GO:0016020
FxaC_15g01421	GO:0022857
FxaC_15g01421	GO:0055085
FxaC_15g03310	GO:0003824
FxaC_15g03310	GO:0008935
FxaC_15g03310	GO:0009234
FxaC_15g03310	GO:0004650
FxaC_15g03310	GO:0005975
FxaC_15g05670	GO:0004672
FxaC_15g05670	GO:0005515
FxaC_15g05670	GO:0005524
FxaC_15g05670	GO:0006468
FxaC_15g07572	GO:0043622
FxaC_15g11842	GO:0004553
FxaC_15g11842	GO:0005975
FxaC_15g13050	GO:0005515
FxaC_15g15200	GO:0009765
FxaC_15g15200	GO:0016020
FxaC_15g16920	GO:0006629
FxaC_15g16920	GO:0008081
FxaC_15g17020	GO:0016787
FxaC_15g20280	GO:0000272
FxaC_15g20280	GO:0016161
FxaC_15g21370	GO:0003824
FxaC_15g21370	GO:0004356
FxaC_15g21370	GO:0006542
FxaC_15g21370	GO:0006807
FxaC_15g33680	GO:0004185
FxaC_15g33680	GO:0006508
FxaC_15g36150	GO:0009644
FxaC_15g36150	GO:0009773
FxaC_15g37120	GO:0008194
FxaC_15g37750	GO:0016491
FxaC_15g37750	GO:0055114
FxaC_15g38710	GO:0010088
FxaC_16g02100	GO:0005515
FxaC_16g02100	GO:0005634
FxaC_16g02100	GO:0006355
FxaC_16g03280	GO:0008194
FxaC_16g03300	GO:0016491
FxaC_16g03300	GO:0047834
FxaC_16g03300	GO:0055114
FxaC_16g04670	GO:0003676
FxaC_16g06010	GO:0004623
FxaC_16g06010	GO:0005509
FxaC_16g06010	GO:0006644
FxaC_16g06010	GO:0016042
FxaC_16g06010	GO:0050482
FxaC_16g07350	GO:0004252
FxaC_16g07350	GO:0006508
FxaC_16g07350	GO:0008236
FxaC_16g15090	GO:0016491
FxaC_16g15090	GO:0016702
FxaC_16g15090	GO:0046872
FxaC_16g15090	GO:0055114
FxaC_16g15090	GO:0005515
FxaC_16g18140	GO:0009765
FxaC_16g18140	GO:0016020
FxaC_16g19360	GO:0009523
FxaC_16g19360	GO:0015979
FxaC_16g19360	GO:0016021
FxaC_16g19360	GO:0030145
FxaC_16g19470	GO:0009523
FxaC_16g19470	GO:0015979
FxaC_16g19470	GO:0016021
FxaC_16g19470	GO:0030145
FxaC_16g19940	GO:0005315
FxaC_16g19940	GO:0006817
FxaC_16g19940	GO:0016020
FxaC_16g21810	GO:0003824
FxaC_16g21810	GO:0004553
FxaC_16g21810	GO:0005975
FxaC_16g21810	GO:0030246
FxaC_16g24350	GO:0043622
FxaC_16g27260	GO:0006952
FxaC_16g28250	GO:0007010
FxaC_16g28250	GO:0008017
FxaC_16g28651	GO:0000785
FxaC_16g28651	GO:0000786
FxaC_16g28651	GO:0003677
FxaC_16g28651	GO:0005634
FxaC_16g28651	GO:0006334
FxaC_16g28651	GO:0006355
FxaC_16g28810	GO:0004650
FxaC_16g28810	GO:0005975
FxaC_16g29610	GO:0008194
FxaC_17g00060	GO:0004564
FxaC_17g00060	GO:0004575
FxaC_17g00650	GO:0004857
FxaC_17g00800	GO:0005506
FxaC_17g00800	GO:0016705
FxaC_17g00800	GO:0020037
FxaC_17g00800	GO:0055114
FxaC_17g02560	GO:0003924
FxaC_17g02560	GO:0005200
FxaC_17g02560	GO:0005525
FxaC_17g02560	GO:0005874
FxaC_17g02560	GO:0007017
FxaC_17g05090	GO:0004842
FxaC_17g05090	GO:0005515
FxaC_17g05090	GO:0016567
FxaC_17g06630	GO:0008194
FxaC_17g09160	GO:0010088
FxaC_17g13460	GO:0004190
FxaC_17g13460	GO:0006508
FxaC_17g13500	GO:0005506
FxaC_17g13500	GO:0016705
FxaC_17g13500	GO:0020037
FxaC_17g13500	GO:0055114
FxaC_17g13540	GO:0005506
FxaC_17g13540	GO:0016705
FxaC_17g13540	GO:0020037
FxaC_17g13540	GO:0055114
FxaC_17g14510	GO:0004373
FxaC_17g14510	GO:0016757
FxaC_17g14540	GO:0004553
FxaC_17g14540	GO:0005975
FxaC_17g15360	GO:0005506
FxaC_17g15360	GO:0016705
FxaC_17g15360	GO:0020037
FxaC_17g15360	GO:0055114
FxaC_17g15380	GO:0003824
FxaC_17g15380	GO:0019346
FxaC_17g15380	GO:0030170
FxaC_17g15540	GO:0009055
FxaC_17g17020	GO:0005506
FxaC_17g17020	GO:0016705
FxaC_17g17020	GO:0020037
FxaC_17g17020	GO:0055114
FxaC_17g18090	GO:0003677
FxaC_17g18090	GO:0003700
FxaC_17g18090	GO:0005634
FxaC_17g18090	GO:0006355
FxaC_17g18090	GO:0046983
FxaC_17g19380	GO:0008107
FxaC_17g19380	GO:0016020
FxaC_17g19380	GO:0042546
FxaC_17g19580	GO:0009765
FxaC_17g19580	GO:0016020
FxaC_17g19680	GO:0015979
FxaC_17g19680	GO:0015995
FxaC_17g19680	GO:0016628
FxaC_17g19680	GO:0045550
FxaC_17g19680	GO:0055114
FxaC_17g19680	GO:0071949
FxaC_17g20140	GO:0003824
FxaC_17g20140	GO:0005975
FxaC_17g20140	GO:0016853
FxaC_17g20140	GO:0019318
FxaC_17g20140	GO:0030246
FxaC_17g20190	GO:0005515
FxaC_17g20450	GO:0003677
FxaC_17g20450	GO:0006355
FxaC_17g20450	GO:0043565
FxaC_17g20790	GO:0005524
FxaC_17g20790	GO:0016887
FxaC_17g22520	GO:0000234
FxaC_17g22520	GO:0006656
FxaC_17g22520	GO:0008168
FxaC_17g22810	GO:0004672
FxaC_17g22810	GO:0005524
FxaC_17g22810	GO:0006468
FxaC_17g22910	GO:0003824
FxaC_17g22910	GO:0004356
FxaC_17g22910	GO:0006542
FxaC_17g22910	GO:0006807
FxaC_17g28570	GO:0005960
FxaC_17g28570	GO:0019464
FxaC_17g31230	GO:0005524
FxaC_17g31230	GO:0005975
FxaC_17g31230	GO:0008974
FxaC_17g31230	GO:0016301
FxaC_17g31730	GO:0003676
FxaC_17g31730	GO:0003677
FxaC_17g31730	GO:0005634
FxaC_17g31730	GO:0006260
FxaC_17g31730	GO:0006281
FxaC_17g31730	GO:0006310
FxaC_17g31730	GO:0008270
FxaC_17g32410	GO:0016020
FxaC_17g32410	GO:0022857
FxaC_17g32410	GO:0055085
FxaC_17g37290	GO:0005524
FxaC_17g37290	GO:0005975
FxaC_17g37290	GO:0008974
FxaC_17g37290	GO:0016301
FxaC_17g41771	GO:0006952
FxaC_17g41771	GO:0016021
FxaC_17g42030	GO:0005515
FxaC_17g42030	GO:0005216
FxaC_17g42030	GO:0005249
FxaC_17g42030	GO:0006811
FxaC_17g42030	GO:0006813
FxaC_17g42030	GO:0016020
FxaC_17g42030	GO:0055085
FxaC_17g44180	GO:0016616
FxaC_17g44180	GO:0051287
FxaC_17g44180	GO:0055114
FxaC_17g45110	GO:0009765
FxaC_17g45110	GO:0016020
FxaC_17g45640	GO:0004672
FxaC_17g45640	GO:0005515
FxaC_17g45640	GO:0005524
FxaC_17g45640	GO:0006468
FxaC_17g45730	GO:0009695
FxaC_17g45730	GO:0016853
FxaC_17g45730	GO:0046423
FxaC_17g49280	GO:0003723
FxaC_17g49280	GO:0033897
FxaC_17g50780	GO:0005515
