ID	GO_ID
FxaC_10g00311	GO:0016788
FxaC_10g01250	GO:0003735
FxaC_10g01250	GO:0005840
FxaC_10g01250	GO:0006412
FxaC_10g01550	GO:0003824
FxaC_10g01550	GO:0004739
FxaC_10g01550	GO:0006086
FxaC_10g02090	GO:0016021
FxaC_10g04820	GO:0004672
FxaC_10g04820	GO:0005509
FxaC_10g04820	GO:0005524
FxaC_10g04820	GO:0006468
FxaC_10g05050	GO:0003824
FxaC_10g05050	GO:0016671
FxaC_10g05050	GO:0019419
FxaC_10g05050	GO:0055114
FxaC_10g06400	GO:0001228
FxaC_10g06400	GO:0006355
FxaC_10g06400	GO:0016602
FxaC_10g06400	GO:0046982
FxaC_10g15120	GO:0006081
FxaC_10g15120	GO:0009013
FxaC_10g15120	GO:0009450
FxaC_10g15120	GO:0016491
FxaC_10g15120	GO:0016620
FxaC_10g15120	GO:0055114
FxaC_10g15930	GO:0004618
FxaC_10g15930	GO:0006096
FxaC_10g18060	GO:0016491
FxaC_10g18060	GO:0055114
FxaC_10g18540	GO:0016020
FxaC_10g26330	GO:0000226
FxaC_10g26330	GO:0008017
FxaC_10g31060	GO:0003824
FxaC_10g31060	GO:0016788
FxaC_10g36200	GO:0016491
FxaC_10g36200	GO:0055114
FxaC_10g37340	GO:0003746
FxaC_10g37340	GO:0003924
FxaC_10g37340	GO:0005525
FxaC_10g37340	GO:0006414
FxaC_10g38120	GO:0004601
FxaC_10g38120	GO:0006979
FxaC_10g38120	GO:0020037
FxaC_10g38120	GO:0055114
FxaC_10g42120	GO:0003924
FxaC_10g42120	GO:0005200
FxaC_10g42120	GO:0005525
FxaC_10g42120	GO:0005874
FxaC_10g42120	GO:0007017
FxaC_10g43490	GO:0006629
FxaC_10g43490	GO:0016717
FxaC_10g43490	GO:0055114
FxaC_10g44620	GO:0003723
FxaC_10g44620	GO:0003735
FxaC_10g44620	GO:0005840
FxaC_10g44620	GO:0006412
FxaC_10g45540	GO:0004601
FxaC_10g45540	GO:0006979
FxaC_10g45540	GO:0020037
FxaC_10g45540	GO:0055114
FxaC_10g48640	GO:0001510
FxaC_10g48640	GO:0008168
FxaC_10g51031	GO:0000287
FxaC_10g51031	GO:0003824
FxaC_10g51031	GO:0004743
FxaC_10g51031	GO:0006096
FxaC_10g51031	GO:0030955
FxaC_11g01930	GO:0016021
FxaC_11g02790	GO:0003824
FxaC_11g02790	GO:0004739
FxaC_11g02790	GO:0006086
FxaC_11g03260	GO:0003735
FxaC_11g03260	GO:0005840
FxaC_11g03260	GO:0006412
FxaC_11g03390	GO:0006633
FxaC_11g03390	GO:0016746
FxaC_11g03390	GO:0016747
FxaC_11g12960	GO:0009013
FxaC_11g12960	GO:0009450
FxaC_11g12960	GO:0016491
FxaC_11g12960	GO:0016620
FxaC_11g12960	GO:0055114
FxaC_11g17060	GO:0003950
FxaC_11g17250	GO:0003824
FxaC_11g17250	GO:0006099
FxaC_11g17250	GO:0008964
FxaC_11g17250	GO:0015977
FxaC_11g19290	GO:0005576
FxaC_11g19290	GO:0009664
FxaC_11g19290	GO:0046872
FxaC_11g24880	GO:0009055
FxaC_11g24880	GO:0022900
FxaC_11g24880	GO:0051536
FxaC_11g24880	GO:0051537
FxaC_11g35030	GO:0003735
FxaC_11g35030	GO:0005840
FxaC_11g35030	GO:0006412
FxaC_11g35030	GO:0015935
FxaC_11g39170	GO:0003924
FxaC_11g39170	GO:0005200
FxaC_11g39170	GO:0005525
FxaC_11g39170	GO:0005874
FxaC_11g39170	GO:0007017
FxaC_11g40310	GO:0000413
FxaC_11g40310	GO:0003755
FxaC_11g43420	GO:0008428
FxaC_11g43420	GO:0051252
FxaC_11g43420	GO:0000786
FxaC_11g43420	GO:0003677
FxaC_11g43420	GO:0046982
FxaC_11g45670	GO:0004553
FxaC_11g45670	GO:0005975
FxaC_12g00920	GO:0010277
FxaC_12g00920	GO:0051537
FxaC_12g00920	GO:0055114
FxaC_12g02130	GO:0055114
FxaC_12g05010	GO:0008428
FxaC_12g05010	GO:0051252
FxaC_12g07540	GO:0006629
FxaC_12g07540	GO:0016717
FxaC_12g07540	GO:0055114
FxaC_12g12500	GO:0003746
FxaC_12g12500	GO:0003924
FxaC_12g12500	GO:0005525
FxaC_12g12500	GO:0006414
FxaC_12g14460	GO:0046872
FxaC_12g16420	GO:0003676
FxaC_12g16420	GO:0005515
FxaC_12g19930	GO:0005515
FxaC_12g19930	GO:0003676
FxaC_12g20390	GO:0004553
FxaC_12g20390	GO:0005975
FxaC_12g22310	GO:0003700
FxaC_12g22310	GO:0006355
FxaC_12g22310	GO:0045893
FxaC_12g24110	GO:0000226
FxaC_12g24110	GO:0008017
FxaC_12g35300	GO:0004618
FxaC_12g35300	GO:0006096
FxaC_12g36140	GO:0009013
FxaC_12g36140	GO:0009450
FxaC_12g36140	GO:0016491
FxaC_12g36140	GO:0016620
FxaC_12g36140	GO:0055114
FxaC_12g43490	GO:0016788
FxaC_12g43780	GO:0016021
FxaC_12g44300	GO:0003735
FxaC_12g44300	GO:0005840
FxaC_12g44300	GO:0006412
FxaC_12g44670	GO:0003824
FxaC_12g44670	GO:0004739
FxaC_12g44670	GO:0006086
FxaC_12g45200	GO:0016021
FxaC_12g45770	GO:0004316
FxaC_12g45770	GO:0006633
FxaC_12g45770	GO:0051287
FxaC_12g45770	GO:0055114
FxaC_12g48920	GO:0003824
FxaC_12g48920	GO:0016671
FxaC_12g48920	GO:0019419
FxaC_12g48920	GO:0055114
FxaC_13g00521	GO:0016491
FxaC_13g00521	GO:0050660
FxaC_13g00521	GO:0055114
FxaC_13g00521	GO:0071949
FxaC_13g11060	GO:0003677
FxaC_13g11060	GO:0003700
FxaC_13g11060	GO:0006355
FxaC_13g11470	GO:0016746
FxaC_13g15700	GO:0005504
FxaC_13g15700	GO:0009627
FxaC_13g21150	GO:0004316
FxaC_13g21150	GO:0006633
FxaC_13g21150	GO:0051287
FxaC_13g21150	GO:0055114
FxaC_13g21650	GO:0000226
FxaC_13g21650	GO:0008017
FxaC_13g22560	GO:0005515
FxaC_13g22560	GO:0051087
FxaC_13g23300	GO:0004497
FxaC_13g23300	GO:0005506
FxaC_13g23300	GO:0016705
FxaC_13g23300	GO:0020037
FxaC_13g23300	GO:0055114
FxaC_13g26700	GO:0016491
FxaC_13g26700	GO:0045454
FxaC_13g26700	GO:0050660
FxaC_13g26700	GO:0055114
FxaC_13g26760	GO:0004568
FxaC_13g26760	GO:0005975
FxaC_13g26760	GO:0006032
FxaC_13g26760	GO:0016998
FxaC_13g27450	GO:0005985
FxaC_13g27450	GO:0016157
FxaC_13g27450	GO:0016757
FxaC_13g29460	GO:0006633
FxaC_13g29580	GO:0009507
FxaC_13g30260	GO:0003755
FxaC_13g30260	GO:0005515
FxaC_13g35500	GO:0006633
FxaC_13g37690	GO:0005985
FxaC_13g37690	GO:0016157
FxaC_13g37690	GO:0016757
FxaC_13g38030	GO:0004864
FxaC_13g38030	GO:0006952
FxaC_13g38030	GO:0009738
FxaC_13g38030	GO:0010427
FxaC_13g38030	GO:0038023
FxaC_13g38550	GO:0004568
FxaC_13g38550	GO:0005975
FxaC_13g38550	GO:0006032
FxaC_13g38550	GO:0016998
FxaC_13g38640	GO:0000287
FxaC_13g38640	GO:0003824
FxaC_13g38640	GO:0004743
FxaC_13g38640	GO:0006096
FxaC_13g38640	GO:0030955
FxaC_13g38820	GO:0004616
FxaC_13g38820	GO:0006098
FxaC_13g38820	GO:0016491
FxaC_13g38820	GO:0050661
FxaC_13g38820	GO:0055114
FxaC_13g48290	GO:0004623
FxaC_13g48290	GO:0005509
FxaC_13g48290	GO:0006644
FxaC_13g48290	GO:0016042
FxaC_13g48290	GO:0050482
