ID	GO_ID
FxaC_10g00860	GO:0009765
FxaC_10g00860	GO:0016020
FxaC_10g02870	GO:0004553
FxaC_10g02870	GO:0005975
FxaC_10g02870	GO:0030246
FxaC_10g04090	GO:0003824
FxaC_10g04200	GO:0005509
FxaC_10g04200	GO:0009523
FxaC_10g04200	GO:0009654
FxaC_10g04200	GO:0015979
FxaC_10g04200	GO:0019898
FxaC_10g04880	GO:0004601
FxaC_10g04880	GO:0006979
FxaC_10g04880	GO:0020037
FxaC_10g04880	GO:0055114
FxaC_10g04891	GO:0015986
FxaC_10g04891	GO:0045261
FxaC_10g04891	GO:0046933
FxaC_10g05110	GO:0004047
FxaC_10g05110	GO:0005515
FxaC_10g05110	GO:0006546
FxaC_10g06300	GO:0046872
FxaC_10g10040	GO:0003677
FxaC_10g10040	GO:0003700
FxaC_10g10040	GO:0005634
FxaC_10g10040	GO:0009908
FxaC_10g10580	GO:0005515
FxaC_10g10580	GO:0051087
FxaC_10g10720	GO:0009522
FxaC_10g10720	GO:0015979
FxaC_10g10720	GO:0016020
FxaC_10g11290	GO:0005216
FxaC_10g11290	GO:0006811
FxaC_10g11290	GO:0016020
FxaC_10g11290	GO:0055085
FxaC_10g11320	GO:0004672
FxaC_10g11320	GO:0005509
FxaC_10g11320	GO:0005524
FxaC_10g11320	GO:0006468
FxaC_10g11320	GO:0030247
FxaC_10g12400	GO:0003824
FxaC_10g12400	GO:0004553
FxaC_10g12400	GO:0005975
FxaC_10g12400	GO:0030246
FxaC_10g16380	GO:0004672
FxaC_10g16380	GO:0005515
FxaC_10g16380	GO:0005524
FxaC_10g16380	GO:0006468
FxaC_10g18260	GO:0009765
FxaC_10g18260	GO:0016020
FxaC_10g22780	GO:0009765
FxaC_10g22780	GO:0016020
FxaC_10g31060	GO:0003824
FxaC_10g31060	GO:0016788
FxaC_10g31660	GO:0003676
FxaC_10g31660	GO:0046872
FxaC_10g48980	GO:0005515
FxaC_10g48980	GO:0016491
FxaC_10g48980	GO:0016702
FxaC_10g48980	GO:0046872
FxaC_10g48980	GO:0055114
FxaC_11g03591	GO:0009765
FxaC_11g03591	GO:0016020
FxaC_11g05920	GO:0008194
FxaC_11g06600	GO:0003677
FxaC_11g06600	GO:0003700
FxaC_11g06600	GO:0005634
FxaC_11g06600	GO:0009908
FxaC_11g07460	GO:0005515
FxaC_11g07460	GO:0051087
FxaC_11g15460	GO:0003824
FxaC_11g15460	GO:0010181
FxaC_11g15460	GO:0016491
FxaC_11g15460	GO:0055114
FxaC_11g16030	GO:0009765
FxaC_11g16030	GO:0016020
FxaC_11g19790	GO:0016630
FxaC_11g19790	GO:0055114
FxaC_11g20200	GO:0006952
FxaC_11g24500	GO:0080019
FxaC_11g29070	GO:0003676
FxaC_11g29070	GO:0046872
FxaC_11g40880	GO:0004066
FxaC_11g40880	GO:0006529
FxaC_11g43740	GO:0009522
FxaC_11g43740	GO:0015979
FxaC_11g43740	GO:0016020
FxaC_12g04160	GO:0005524
FxaC_12g04160	GO:0016301
FxaC_12g04161	GO:0003824
FxaC_12g04161	GO:0004332
FxaC_12g04161	GO:0006096
FxaC_12g04790	GO:0009522
FxaC_12g04790	GO:0015979
FxaC_12g04790	GO:0016020
FxaC_12g05630	GO:0005515
FxaC_12g08570	GO:0003676
FxaC_12g11980	GO:0003677
FxaC_12g11980	GO:0006355
FxaC_12g13370	GO:0015267
FxaC_12g13370	GO:0016020
FxaC_12g13370	GO:0055085
FxaC_12g18150	GO:0003824
FxaC_12g26600	GO:0036094
FxaC_12g28180	GO:0009765
FxaC_12g28180	GO:0016020
FxaC_12g28810	GO:0016630
FxaC_12g28810	GO:0055114
FxaC_12g28820	GO:0005975
FxaC_12g33330	GO:0009765
FxaC_12g33330	GO:0016020
FxaC_12g38920	GO:0003824
FxaC_12g38920	GO:0004553
FxaC_12g38920	GO:0005975
FxaC_12g38920	GO:0030246
FxaC_12g40050	GO:0008442
FxaC_12g40050	GO:0016491
FxaC_12g40050	GO:0050661
FxaC_12g40050	GO:0051287
FxaC_12g40050	GO:0055114
FxaC_12g40510	GO:0009522
FxaC_12g40510	GO:0015979
FxaC_12g40510	GO:0016020
FxaC_12g43430	GO:0016747
FxaC_12g44010	GO:0009765
FxaC_12g44010	GO:0016020
FxaC_12g45470	GO:0003677
FxaC_12g45470	GO:0006355
FxaC_12g47560	GO:0003824
FxaC_12g47640	GO:0005509
FxaC_12g47640	GO:0009523
FxaC_12g47640	GO:0009654
FxaC_12g47640	GO:0015979
FxaC_12g47640	GO:0019898
FxaC_12g48140	GO:0004553
FxaC_12g48140	GO:0005618
FxaC_12g48140	GO:0005975
FxaC_12g48140	GO:0006073
FxaC_12g48140	GO:0010411
FxaC_12g48140	GO:0016762
FxaC_12g48140	GO:0042546
FxaC_12g48140	GO:0048046
FxaC_12g48590	GO:0004601
FxaC_12g48590	GO:0006979
FxaC_12g48590	GO:0020037
FxaC_12g48590	GO:0055114
FxaC_12g48620	GO:0015986
FxaC_12g48620	GO:0045261
FxaC_12g48620	GO:0046933
FxaC_12g50260	GO:0046872
FxaC_13g00240	GO:0004185
FxaC_13g00240	GO:0006508
FxaC_13g01011	GO:0005506
FxaC_13g01011	GO:0005737
FxaC_13g01011	GO:0019310
FxaC_13g01011	GO:0050113
FxaC_13g01011	GO:0055114
FxaC_13g01690	GO:0005504
FxaC_13g01690	GO:0009627
FxaC_13g03160	GO:0004864
FxaC_13g03160	GO:0006952
FxaC_13g03160	GO:0009738
FxaC_13g03160	GO:0010427
FxaC_13g03160	GO:0038023
FxaC_13g03380	GO:0016702
FxaC_13g03380	GO:0055114
FxaC_13g04770	GO:0005384
FxaC_13g04770	GO:0030026
FxaC_13g08070	GO:0016757
FxaC_13g11060	GO:0003677
FxaC_13g11060	GO:0003700
FxaC_13g11060	GO:0006355
FxaC_13g11510	GO:0016020
FxaC_13g11510	GO:0022857
FxaC_13g11510	GO:0055085
FxaC_13g11580	GO:0003824
FxaC_13g11580	GO:0004553
FxaC_13g11580	GO:0005975
FxaC_13g11580	GO:0030246
FxaC_13g17020	GO:0016020
FxaC_13g17020	GO:0022857
FxaC_13g17020	GO:0055085
FxaC_13g19211	GO:0016788
FxaC_13g20080	GO:0010088
FxaC_13g20082	GO:0010088
FxaC_13g20620	GO:0009523
FxaC_13g20620	GO:0015979
FxaC_13g20620	GO:0016021
FxaC_13g20620	GO:0030145
FxaC_13g21920	GO:0009765
FxaC_13g21920	GO:0016020
FxaC_13g23320	GO:0016020
FxaC_13g23320	GO:0022857
FxaC_13g23320	GO:0055085
FxaC_13g23940	GO:0006629
FxaC_13g23940	GO:0008081
FxaC_13g29580	GO:0009507
FxaC_13g32890	GO:0009522
FxaC_13g32890	GO:0009538
FxaC_13g32890	GO:0015979
FxaC_13g38020	GO:0004864
FxaC_13g38020	GO:0006952
FxaC_13g38020	GO:0009738
FxaC_13g38020	GO:0010427
FxaC_13g38020	GO:0038023
FxaC_13g45770	GO:0004672
FxaC_13g45770	GO:0005524
FxaC_13g45770	GO:0006468
FxaC_13g50980	GO:0005515
FxaC_13g50980	GO:0005634
FxaC_13g50980	GO:0006355
FxaC_13g51170	GO:0016491
FxaC_13g51170	GO:0055114
FxaC_13g53620	GO:0010088
FxaC_13g53740	GO:0005515
FxaC_13g53740	GO:0005634
FxaC_13g53740	GO:0006355
FxaC_13g54920	GO:0010374
FxaC_14g01780	GO:0005504
FxaC_14g01780	GO:0009627
FxaC_14g02780	GO:0004864
FxaC_14g02780	GO:0006952
FxaC_14g02780	GO:0009738
FxaC_14g02780	GO:0010427
FxaC_14g02780	GO:0038023
FxaC_14g05880	GO:0004672
FxaC_14g05880	GO:0005515
FxaC_14g05880	GO:0005524
FxaC_14g05880	GO:0006468
FxaC_14g14400	GO:0009765
FxaC_14g14400	GO:0016020
FxaC_14g15760	GO:0009507
FxaC_14g19630	GO:0004864
FxaC_14g19630	GO:0006952
FxaC_14g19630	GO:0009738
FxaC_14g19630	GO:0010427
FxaC_14g19630	GO:0038023
FxaC_14g21910	GO:0000272
FxaC_14g21910	GO:0016161
FxaC_14g23310	GO:0046872
FxaC_14g24250	GO:0005515
FxaC_14g24250	GO:0016491
FxaC_14g24250	GO:0016702
FxaC_14g24250	GO:0046872
FxaC_14g24250	GO:0055114
FxaC_14g24300	GO:0009522
FxaC_14g24300	GO:0009538
FxaC_14g24300	GO:0015979
FxaC_14g35530	GO:0004252
FxaC_14g35530	GO:0006508
FxaC_14g35530	GO:0008236
FxaC_15g02510	GO:0004864
FxaC_15g02510	GO:0006952
FxaC_15g02510	GO:0009738
FxaC_15g02510	GO:0010427
FxaC_15g02510	GO:0038023
FxaC_15g03310	GO:0003824
FxaC_15g03310	GO:0008935
FxaC_15g03310	GO:0009234
FxaC_15g03310	GO:0004650
FxaC_15g03310	GO:0005975
FxaC_15g09670	GO:0003677
FxaC_15g09670	GO:0003700
FxaC_15g09670	GO:0006355
FxaC_15g13460	GO:0010088
FxaC_15g13750	GO:0009523
FxaC_15g13750	GO:0015979
FxaC_15g13750	GO:0016021
FxaC_15g13750	GO:0030145
FxaC_15g15200	GO:0009765
FxaC_15g15200	GO:0016020
FxaC_15g20280	GO:0000272
FxaC_15g20280	GO:0016161
FxaC_15g20590	GO:0003824
FxaC_15g20590	GO:0008661
FxaC_15g20590	GO:0016114
FxaC_15g22500	GO:0009522
FxaC_15g22500	GO:0009538
FxaC_15g22500	GO:0015979
FxaC_15g28740	GO:0004252
FxaC_15g28740	GO:0006508
FxaC_15g28740	GO:0008236
FxaC_15g32030	GO:0005507
FxaC_15g32030	GO:0016491
FxaC_15g32030	GO:0046274
FxaC_15g32030	GO:0048046
FxaC_15g32030	GO:0052716
FxaC_15g32030	GO:0055114
FxaC_15g33820	GO:0005515
FxaC_15g38710	GO:0010088
FxaC_15g38980	GO:0005515
FxaC_15g38980	GO:0005634
FxaC_15g38980	GO:0006355
FxaC_16g02100	GO:0005515
FxaC_16g02100	GO:0005634
FxaC_16g02100	GO:0006355
FxaC_16g03830	GO:0016021
FxaC_16g07350	GO:0004252
FxaC_16g07350	GO:0006508
FxaC_16g07350	GO:0008236
FxaC_16g15090	GO:0016491
FxaC_16g15090	GO:0016702
FxaC_16g15090	GO:0046872
FxaC_16g15090	GO:0055114
FxaC_16g15090	GO:0005515
FxaC_16g17010	GO:0016020
FxaC_16g17010	GO:0016021
FxaC_16g17010	GO:0022857
FxaC_16g17010	GO:0055085
FxaC_16g17270	GO:0000272
FxaC_16g17270	GO:0016161
FxaC_16g18140	GO:0009765
FxaC_16g18140	GO:0016020
FxaC_16g19470	GO:0009523
FxaC_16g19470	GO:0015979
FxaC_16g19470	GO:0016021
FxaC_16g19470	GO:0030145
FxaC_16g19660	GO:0010088
FxaC_16g21930	GO:0016020
FxaC_16g21930	GO:0022857
FxaC_16g21930	GO:0055085
FxaC_17g00050	GO:0005507
FxaC_17g00050	GO:0016491
FxaC_17g00050	GO:0055114
FxaC_17g00071	GO:0003824
FxaC_17g00071	GO:0005992
FxaC_17g00801	GO:0005506
FxaC_17g00801	GO:0016705
FxaC_17g00801	GO:0020037
FxaC_17g00801	GO:0055114
FxaC_17g10380	GO:0003677
FxaC_17g10380	GO:0005634
FxaC_17g18090	GO:0003677
FxaC_17g18090	GO:0003700
FxaC_17g18090	GO:0005634
FxaC_17g18090	GO:0006355
FxaC_17g18090	GO:0046983
FxaC_17g19180	GO:0004672
FxaC_17g19180	GO:0005524
FxaC_17g19180	GO:0006468
FxaC_17g20140	GO:0003824
FxaC_17g20140	GO:0005975
FxaC_17g20140	GO:0016853
FxaC_17g20140	GO:0019318
FxaC_17g20140	GO:0030246
FxaC_17g22250	GO:0004553
FxaC_17g22250	GO:0005975
FxaC_17g22520	GO:0000234
FxaC_17g22520	GO:0006656
FxaC_17g22520	GO:0008168
FxaC_17g22540	GO:0016021
FxaC_17g22540	GO:0055085
FxaC_17g22680	GO:0003824
FxaC_17g22680	GO:0005975
FxaC_17g22680	GO:0008270
FxaC_17g22680	GO:0016491
FxaC_17g22680	GO:0016832
FxaC_17g22680	GO:0050661
FxaC_17g22680	GO:0051287
FxaC_17g22680	GO:0055114
FxaC_17g22950	GO:0004672
FxaC_17g22950	GO:0005524
FxaC_17g22950	GO:0006468
FxaC_17g28120	GO:0000160
FxaC_17g28120	GO:0003677
FxaC_17g41771	GO:0006952
FxaC_17g41771	GO:0016021
FxaC_17g45110	GO:0009765
FxaC_17g45110	GO:0016020
FxaC_17g53240	GO:0008168
FxaC_17g54040	GO:0004553
FxaC_17g54040	GO:0005975
FxaC_18g01090	GO:0005515
FxaC_18g08030	GO:0005515
FxaC_18g12000	GO:0004553
FxaC_18g12000	GO:0005975
FxaC_18g25290	GO:0003677
FxaC_18g25290	GO:0005634
FxaC_18g25290	GO:0006355
FxaC_18g25290	GO:0043565
FxaC_18g30990	GO:0009765
FxaC_18g30990	GO:0016020
FxaC_18g43200	GO:0004650
FxaC_18g43200	GO:0005975
FxaC_18g44040	GO:0003924
FxaC_18g44040	GO:0005200
FxaC_18g44040	GO:0005525
FxaC_18g44040	GO:0005874
FxaC_18g44040	GO:0007017
FxaC_19g02610	GO:0046983
FxaC_19g05000	GO:0003700
FxaC_19g05000	GO:0006355
FxaC_19g05000	GO:0043565
FxaC_19g07380	GO:0010088
FxaC_19g08880	GO:0003677
FxaC_19g08880	GO:0005634
FxaC_19g11680	GO:0016020
FxaC_19g11680	GO:0016760
FxaC_19g11680	GO:0030244
FxaC_19g12860	GO:0009765
FxaC_19g12860	GO:0016020
FxaC_19g12870	GO:0003677
FxaC_19g12870	GO:0046983
FxaC_19g15970	GO:0003824
FxaC_19g15970	GO:0004356
FxaC_19g15970	GO:0006542
FxaC_19g15970	GO:0006807
FxaC_19g16040	GO:0004672
FxaC_19g16040	GO:0005524
FxaC_19g16040	GO:0006468
FxaC_19g17890	GO:0003677
FxaC_19g17890	GO:0005634
FxaC_19g17890	GO:0006355
FxaC_19g17890	GO:0043565
FxaC_19g19600	GO:0000272
FxaC_19g19600	GO:0016161
FxaC_19g29860	GO:0009055
FxaC_19g29860	GO:0022900
FxaC_19g29860	GO:0051536
FxaC_19g29860	GO:0051537
FxaC_19g32180	GO:0009765
FxaC_19g32180	GO:0016020
FxaC_19g36610	GO:0005507
FxaC_19g36610	GO:0055114
FxaC_19g36610	GO:0016491
FxaC_19g36610	GO:0046274
FxaC_19g36610	GO:0048046
FxaC_19g36610	GO:0052716
FxaC_19g37050	GO:0015211
FxaC_19g37050	GO:0016021
FxaC_1g04030	GO:0003824
FxaC_1g06630	GO:0005506
FxaC_1g06630	GO:0005737
FxaC_1g06630	GO:0019310
FxaC_1g06630	GO:0050113
FxaC_1g06630	GO:0055114
FxaC_1g08250	GO:0008194
FxaC_1g09910	GO:0004857
FxaC_1g14090	GO:0009415
FxaC_1g15770	GO:0051560
FxaC_1g15940	GO:0003677
FxaC_1g15940	GO:0006355
FxaC_1g16130	GO:0009654
FxaC_1g16130	GO:0010207
FxaC_1g16130	GO:0010242
FxaC_1g16130	GO:0042549
FxaC_1g19640	GO:0005515
FxaC_1g19830	GO:0016811
FxaC_1g19970	GO:0004553
FxaC_1g19970	GO:0005975
FxaC_1g21160	GO:0004553
FxaC_1g21160	GO:0005618
FxaC_1g21160	GO:0005975
FxaC_1g21160	GO:0006073
FxaC_1g21160	GO:0010411
FxaC_1g21160	GO:0016762
FxaC_1g21160	GO:0042546
FxaC_1g21160	GO:0048046
FxaC_1g24570	GO:0005509
FxaC_1g24570	GO:0005544
FxaC_1g29280	GO:0009522
FxaC_1g29280	GO:0015979
FxaC_20g00040	GO:0008289
FxaC_20g03180	GO:0004650
FxaC_20g03180	GO:0005975
FxaC_20g03920	GO:0005524
FxaC_20g03920	GO:0016021
FxaC_20g03920	GO:0042626
FxaC_20g03920	GO:0055085
FxaC_20g09800	GO:0003824
FxaC_20g09800	GO:0004559
FxaC_20g09800	GO:0005975
FxaC_20g09800	GO:0006013
FxaC_20g09800	GO:0030246
FxaC_20g12840	GO:0005515
FxaC_20g12840	GO:0008270
FxaC_20g14700	GO:0005524
FxaC_20g14700	GO:0016887
FxaC_20g15470	GO:0009765
FxaC_20g15470	GO:0016020
FxaC_20g16861	GO:0004672
FxaC_20g16861	GO:0004674
FxaC_20g16861	GO:0005524
FxaC_20g16861	GO:0006468
FxaC_20g18290	GO:0000234
FxaC_20g18290	GO:0006656
FxaC_20g18290	GO:0008168
FxaC_20g18650	GO:0003824
FxaC_20g18650	GO:0004356
FxaC_20g18650	GO:0006542
FxaC_20g18650	GO:0006807
FxaC_20g23380	GO:0005960
FxaC_20g23380	GO:0019464
FxaC_20g34620	GO:0004553
FxaC_20g34620	GO:0005975
FxaC_20g35010	GO:0009765
FxaC_20g35010	GO:0016020
FxaC_20g37430	GO:0005507
FxaC_20g37430	GO:0055114
FxaC_20g37430	GO:0016491
FxaC_20g41530	GO:0004348
FxaC_20g41530	GO:0004553
FxaC_20g41530	GO:0005975
FxaC_20g41530	GO:0006680
FxaC_20g41530	GO:0016020
FxaC_21g00790	GO:0016747
FxaC_21g02610	GO:0004672
FxaC_21g02610	GO:0005524
FxaC_21g02610	GO:0006468
FxaC_21g06430	GO:0043531
FxaC_21g10140	GO:0005506
FxaC_21g10140	GO:0016705
FxaC_21g10140	GO:0020037
FxaC_21g10140	GO:0055114
FxaC_21g10930	GO:0004672
FxaC_21g10930	GO:0005515
FxaC_21g10930	GO:0005524
FxaC_21g10930	GO:0006468
FxaC_21g11180	GO:0000287
FxaC_21g11180	GO:0010333
FxaC_21g11180	GO:0016829
FxaC_21g13280	GO:0004553
FxaC_21g13280	GO:0005618
FxaC_21g13280	GO:0005975
FxaC_21g13280	GO:0006073
FxaC_21g13280	GO:0010411
FxaC_21g13280	GO:0016762
FxaC_21g13280	GO:0042546
FxaC_21g13280	GO:0048046
FxaC_21g14990	GO:0004553
FxaC_21g14990	GO:0005975
FxaC_21g16130	GO:0009765
FxaC_21g16130	GO:0016020
FxaC_21g16200	GO:0003676
FxaC_21g16200	GO:0046872
FxaC_21g17250	GO:0009765
FxaC_21g17250	GO:0016020
FxaC_21g18880	GO:0005509
FxaC_21g18880	GO:0009523
FxaC_21g18880	GO:0009654
FxaC_21g18880	GO:0015979
FxaC_21g18880	GO:0019898
FxaC_21g19510	GO:0009765
FxaC_21g19510	GO:0016020
FxaC_21g24090	GO:0016788
FxaC_21g24540	GO:0003824
FxaC_21g24540	GO:0010181
FxaC_21g24540	GO:0016491
FxaC_21g24540	GO:0055114
FxaC_21g28890	GO:0015267
FxaC_21g28890	GO:0016020
FxaC_21g28890	GO:0055085
FxaC_21g29300	GO:0009522
FxaC_21g29300	GO:0009538
FxaC_21g29300	GO:0015979
FxaC_21g32310	GO:0005515
FxaC_21g35970	GO:0003677
FxaC_21g36850	GO:0004553
FxaC_21g36850	GO:0005975
FxaC_21g37830	GO:0009058
FxaC_21g37830	GO:0015995
FxaC_21g37830	GO:0016851
FxaC_21g37970	GO:0003824
FxaC_21g45060	GO:0016491
FxaC_21g45060	GO:0055114
FxaC_21g48550	GO:0004553
FxaC_21g48550	GO:0005618
FxaC_21g48550	GO:0005975
FxaC_21g48550	GO:0006073
FxaC_21g48550	GO:0010411
FxaC_21g48550	GO:0016762
FxaC_21g48550	GO:0042546
FxaC_21g48550	GO:0048046
FxaC_21g48750	GO:0046872
FxaC_21g51370	GO:0016020
FxaC_21g51370	GO:0016021
FxaC_21g51370	GO:0022857
FxaC_21g52130	GO:0046872
FxaC_21g54890	GO:0008168
FxaC_21g55390	GO:0009765
FxaC_21g55390	GO:0016020
FxaC_21g56590	GO:0009765
FxaC_21g56590	GO:0016020
FxaC_21g58030	GO:0003824
FxaC_21g58030	GO:0008483
FxaC_21g58030	GO:0030170
FxaC_21g61060	GO:0004478
FxaC_21g61060	GO:0005524
FxaC_21g61060	GO:0006556
FxaC_21g61430	GO:0016788
FxaC_21g62060	GO:0005515
FxaC_21g64200	GO:0016788
FxaC_21g65240	GO:0004190
FxaC_21g65240	GO:0006508
FxaC_21g67590	GO:0005515
FxaC_21g67590	GO:0005634
FxaC_21g67590	GO:0006355
FxaC_21g67600	GO:0005515
FxaC_21g67600	GO:0005634
FxaC_21g67600	GO:0006355
FxaC_21g70180	GO:0009522
FxaC_21g70180	GO:0009538
FxaC_21g70180	GO:0015979
FxaC_21g70990	GO:0016788
FxaC_22g00470	GO:0004373
FxaC_22g00470	GO:0016757
FxaC_22g02090	GO:0004672
FxaC_22g02090	GO:0005524
FxaC_22g02090	GO:0006468
FxaC_22g03050	GO:0016788
FxaC_22g08241	GO:0003700
FxaC_22g11330	GO:0004553
FxaC_22g11330	GO:0005618
FxaC_22g11330	GO:0005975
FxaC_22g11330	GO:0006073
FxaC_22g11330	GO:0010411
FxaC_22g11330	GO:0016762
FxaC_22g11330	GO:0042546
FxaC_22g11330	GO:0048046
FxaC_22g12840	GO:0004553
FxaC_22g12840	GO:0005975
FxaC_22g14090	GO:0009765
FxaC_22g14090	GO:0016020
FxaC_22g15120	GO:0009765
FxaC_22g15120	GO:0016020
FxaC_22g16160	GO:0005509
FxaC_22g16160	GO:0009523
FxaC_22g16160	GO:0009654
FxaC_22g16160	GO:0015979
FxaC_22g16160	GO:0019898
FxaC_22g16710	GO:0009765
FxaC_22g16710	GO:0016020
FxaC_22g23680	GO:0005506
FxaC_22g23680	GO:0005737
FxaC_22g23680	GO:0019310
FxaC_22g23680	GO:0050113
FxaC_22g23680	GO:0055114
FxaC_22g24920	GO:0009522
FxaC_22g24920	GO:0009538
FxaC_22g24920	GO:0015979
FxaC_22g48640	GO:0004553
FxaC_22g48640	GO:0005618
FxaC_22g48640	GO:0005975
FxaC_22g48640	GO:0006073
FxaC_22g48640	GO:0010411
FxaC_22g48640	GO:0016762
FxaC_22g48640	GO:0042546
FxaC_22g48640	GO:0048046
FxaC_22g50270	GO:0046872
FxaC_22g65260	GO:0016788
FxaC_22g66780	GO:0005515
FxaC_22g66780	GO:0005634
FxaC_22g66780	GO:0006355
FxaC_22g70970	GO:0016788
FxaC_23g02730	GO:0016788
FxaC_23g05430	GO:0004672
FxaC_23g05430	GO:0005524
FxaC_23g05430	GO:0006468
FxaC_23g06010	GO:0003993
FxaC_23g07380	GO:0009522
FxaC_23g07380	GO:0009538
FxaC_23g07380	GO:0015979
FxaC_23g10290	GO:0005515
FxaC_23g11260	GO:0004190
FxaC_23g11260	GO:0006508
FxaC_23g13310	GO:0003824
FxaC_23g13310	GO:0006520
FxaC_23g13310	GO:0008483
FxaC_23g13310	GO:0009058
FxaC_23g13310	GO:0030170
FxaC_23g15920	GO:0004553
