ID	GO_ID
FxaC_10g00301	GO:0016788
FxaC_10g00500	GO:0004518
FxaC_10g00500	GO:0006281
FxaC_10g00500	GO:0035312
FxaC_10g00860	GO:0009765
FxaC_10g00860	GO:0016020
FxaC_10g00930	GO:0046983
FxaC_10g01110	GO:0003677
FxaC_10g01110	GO:0005524
FxaC_10g01110	GO:0006270
FxaC_10g01110	GO:0032508
FxaC_10g01110	GO:0042555
FxaC_10g01360	GO:0004571
FxaC_10g01360	GO:0005509
FxaC_10g01360	GO:0005975
FxaC_10g01360	GO:0016020
FxaC_10g01800	GO:0005515
FxaC_10g02030	GO:0006486
FxaC_10g02030	GO:0016020
FxaC_10g02030	GO:0016758
FxaC_10g02030	GO:0030246
FxaC_10g02040	GO:0016020
FxaC_10g02160	GO:0005515
FxaC_10g02710	GO:0005515
FxaC_10g02710	GO:0008017
FxaC_10g02830	GO:0003676
FxaC_10g02830	GO:0004519
FxaC_10g02830	GO:0006308
FxaC_10g02830	GO:0016788
FxaC_10g03100	GO:0005515
FxaC_10g03140	GO:0016020
FxaC_10g03140	GO:0016021
FxaC_10g03140	GO:0022857
FxaC_10g03140	GO:0055085
FxaC_10g03480	GO:0004672
FxaC_10g03480	GO:0004674
FxaC_10g03480	GO:0005524
FxaC_10g03480	GO:0006468
FxaC_10g03480	GO:0048544
FxaC_10g03590	GO:0004672
FxaC_10g03590	GO:0004674
FxaC_10g03590	GO:0005524
FxaC_10g03590	GO:0006468
FxaC_10g03590	GO:0048544
FxaC_10g03680	GO:0004672
FxaC_10g03680	GO:0004674
FxaC_10g03680	GO:0005524
FxaC_10g03680	GO:0006468
FxaC_10g03680	GO:0048544
FxaC_10g03710	GO:0003955
FxaC_10g03710	GO:0010181
FxaC_10g03710	GO:0016491
FxaC_10g03770	GO:0070300
FxaC_10g03810	GO:0000287
FxaC_10g03810	GO:0010333
FxaC_10g03810	GO:0016829
FxaC_10g03870	GO:0000287
FxaC_10g03870	GO:0010333
FxaC_10g03870	GO:0016829
FxaC_10g03910	GO:0000287
FxaC_10g03910	GO:0010333
FxaC_10g03910	GO:0016829
FxaC_10g04090	GO:0003824
FxaC_10g04200	GO:0005509
FxaC_10g04200	GO:0009523
FxaC_10g04200	GO:0009654
FxaC_10g04200	GO:0015979
FxaC_10g04200	GO:0019898
FxaC_10g04580	GO:0005515
FxaC_10g04580	GO:0006629
FxaC_10g04820	GO:0004672
FxaC_10g04820	GO:0005509
FxaC_10g04820	GO:0005524
FxaC_10g04820	GO:0006468
FxaC_10g04891	GO:0015986
FxaC_10g04891	GO:0045261
FxaC_10g04891	GO:0046933
FxaC_10g04971	GO:0005515
FxaC_10g04990	GO:0004664
FxaC_10g04990	GO:0009094
FxaC_10g04990	GO:0004106
FxaC_10g05090	GO:0005507
FxaC_10g05090	GO:0016491
FxaC_10g05090	GO:0055114
FxaC_10g05110	GO:0004047
FxaC_10g05110	GO:0005515
FxaC_10g05110	GO:0006546
FxaC_10g05320	GO:0016020
FxaC_10g05400	GO:0004672
FxaC_10g05400	GO:0005515
FxaC_10g05400	GO:0005524
FxaC_10g05400	GO:0006468
FxaC_10g05440	GO:0004252
FxaC_10g05440	GO:0006508
FxaC_10g05440	GO:0008236
FxaC_10g05481	GO:0003872
FxaC_10g05481	GO:0005524
FxaC_10g05481	GO:0006002
FxaC_10g05481	GO:0006096
FxaC_10g05481	GO:0047334
FxaC_10g05550	GO:0005515
FxaC_10g05560	GO:0005515
FxaC_10g05560	GO:0061630
FxaC_10g05590	GO:0006869
FxaC_10g05590	GO:0008289
FxaC_10g05670	GO:0004605
FxaC_10g05770	GO:0005094
FxaC_10g05770	GO:0005737
FxaC_10g06260	GO:0046872
FxaC_10g06260	GO:1900150
FxaC_10g06300	GO:0046872
FxaC_10g06490	GO:0008299
FxaC_10g06490	GO:0016765
FxaC_10g06820	GO:0046854
FxaC_10g06820	GO:0046855
FxaC_10g06920	GO:0006869
FxaC_10g06920	GO:0008289
FxaC_10g06940	GO:0005509
FxaC_10g06940	GO:0005515
FxaC_10g06940	GO:0005525
FxaC_10g06980	GO:0016787
FxaC_10g07210	GO:0003677
FxaC_10g07210	GO:0005634
FxaC_10g07210	GO:0006355
FxaC_10g07210	GO:0009725
FxaC_10g08500	GO:0016020
FxaC_10g08500	GO:0016760
FxaC_10g08500	GO:0030244
FxaC_10g08540	GO:0008270
FxaC_10g08590	GO:0016020
FxaC_10g08590	GO:0022857
FxaC_10g08590	GO:0055085
FxaC_10g08900	GO:0005856
FxaC_10g08900	GO:0030036
FxaC_10g09290	GO:0016747
FxaC_10g09330	GO:0005515
FxaC_10g09490	GO:0008194
FxaC_10g09550	GO:0016021
FxaC_10g09550	GO:0022857
FxaC_10g09550	GO:0055085
FxaC_10g09590	GO:0004672
FxaC_10g09590	GO:0005515
FxaC_10g09590	GO:0005524
FxaC_10g09590	GO:0006468
FxaC_10g10040	GO:0003677
FxaC_10g10040	GO:0003700
FxaC_10g10040	GO:0005634
FxaC_10g10040	GO:0009908
FxaC_10g10120	GO:0005515
FxaC_10g10580	GO:0005515
FxaC_10g10580	GO:0051087
FxaC_10g10720	GO:0009522
FxaC_10g10720	GO:0015979
FxaC_10g10720	GO:0016020
FxaC_10g10850	GO:0005515
FxaC_10g10850	GO:0006364
FxaC_10g10850	GO:0034511
FxaC_10g10920	GO:0003677
FxaC_10g10920	GO:0008289
FxaC_10g10940	GO:0016491
FxaC_10g10940	GO:0055114
FxaC_10g11060	GO:0004672
FxaC_10g11060	GO:0005524
FxaC_10g11060	GO:0006468
FxaC_10g11091	GO:0004672
FxaC_10g11091	GO:0005515
FxaC_10g11091	GO:0005524
FxaC_10g11091	GO:0006468
FxaC_10g11141	GO:0005198
FxaC_10g11141	GO:0005515
FxaC_10g11141	GO:0006886
FxaC_10g11141	GO:0016192
FxaC_10g11141	GO:0030117
FxaC_10g11141	GO:0030126
FxaC_10g11290	GO:0005216
FxaC_10g11290	GO:0006811
FxaC_10g11290	GO:0016020
FxaC_10g11290	GO:0055085
FxaC_10g11680	GO:0016491
FxaC_10g11680	GO:0050660
FxaC_10g11680	GO:0055114
FxaC_10g11680	GO:0071949
FxaC_10g11810	GO:0004672
FxaC_10g11810	GO:0004674
FxaC_10g11810	GO:0005524
FxaC_10g11810	GO:0006468
FxaC_10g12380	GO:0004751
FxaC_10g12380	GO:0009052
FxaC_10g12390	GO:0005506
FxaC_10g12390	GO:0016705
FxaC_10g12390	GO:0020037
FxaC_10g12390	GO:0055114
FxaC_10g12470	GO:0006629
FxaC_10g12490	GO:0047617
FxaC_10g12850	GO:0016021
FxaC_10g12910	GO:0003676
FxaC_10g12910	GO:0005515
FxaC_10g13360	GO:0005960
FxaC_10g13360	GO:0019464
FxaC_10g13531	GO:0003677
FxaC_10g13531	GO:0003700
FxaC_10g13531	GO:0005634
FxaC_10g13531	GO:0006355
FxaC_10g13531	GO:0046983
FxaC_10g13531	GO:0048316
FxaC_10g13830	GO:0000166
FxaC_10g13830	GO:0005507
FxaC_10g13830	GO:0006812
FxaC_10g13830	GO:0016021
FxaC_10g13830	GO:0019829
FxaC_10g13830	GO:0046872
FxaC_10g13960	GO:0004650
FxaC_10g13990	GO:0005385
FxaC_10g13990	GO:0016020
FxaC_10g13990	GO:0016021
FxaC_10g13990	GO:0030001
FxaC_10g13990	GO:0046873
FxaC_10g13990	GO:0055085
FxaC_10g13990	GO:0071577
FxaC_10g14320	GO:0008168
FxaC_10g14530	GO:0003677
FxaC_10g14530	GO:0003678
FxaC_10g14530	GO:0005524
FxaC_10g14530	GO:0005634
FxaC_10g14530	GO:0006270
FxaC_10g14530	GO:0032508
FxaC_10g14530	GO:0042555
FxaC_10g14830	GO:0004190
FxaC_10g14830	GO:0006508
FxaC_10g15790	GO:0005085
FxaC_10g15790	GO:0007264
FxaC_10g15920	GO:0004618
FxaC_10g15920	GO:0006096
FxaC_10g16630	GO:0006506
FxaC_10g16640	GO:0003924
FxaC_10g16640	GO:0005525
FxaC_10g17520	GO:0009523
FxaC_10g17520	GO:0009654
FxaC_10g17520	GO:0015979
FxaC_10g17520	GO:0042651
FxaC_10g17620	GO:0005515
FxaC_10g17720	GO:0003824
FxaC_10g17720	GO:0010181
FxaC_10g17720	GO:0016491
FxaC_10g17720	GO:0055114
FxaC_10g17750	GO:0043190
FxaC_10g18110	GO:0004843
FxaC_10g18110	GO:0016579
FxaC_10g18260	GO:0009765
FxaC_10g18260	GO:0016020
FxaC_10g21052	GO:0005509
FxaC_10g21052	GO:0016021
FxaC_10g21052	GO:0055085
FxaC_10g21140	GO:0003700
FxaC_10g22520	GO:0004672
FxaC_10g22520	GO:0005524
FxaC_10g22520	GO:0006468
FxaC_10g22780	GO:0009765
