ID	GO_ID
FxaC_10g00301	GO:0016788
FxaC_10g00860	GO:0009765
FxaC_10g00860	GO:0016020
FxaC_10g00870	GO:0004672
FxaC_10g00870	GO:0005515
FxaC_10g00870	GO:0005524
FxaC_10g00870	GO:0006468
FxaC_10g01901	GO:0003690
FxaC_10g01901	GO:0006355
FxaC_10g02040	GO:0016020
FxaC_10g02520	GO:0004097
FxaC_10g02520	GO:0055114
FxaC_10g02820	GO:0016491
FxaC_10g02820	GO:0055114
FxaC_10g02990	GO:0000813
FxaC_10g02990	GO:0032509
FxaC_10g03060	GO:0005515
FxaC_10g03480	GO:0004672
FxaC_10g03480	GO:0004674
FxaC_10g03480	GO:0005524
FxaC_10g03480	GO:0006468
FxaC_10g03480	GO:0048544
FxaC_10g03910	GO:0000287
FxaC_10g03910	GO:0010333
FxaC_10g03910	GO:0016829
FxaC_10g04090	GO:0003824
FxaC_10g04200	GO:0005509
FxaC_10g04200	GO:0009523
FxaC_10g04200	GO:0009654
FxaC_10g04200	GO:0015979
FxaC_10g04200	GO:0019898
FxaC_10g04570	GO:0016021
FxaC_10g04570	GO:0022857
FxaC_10g04570	GO:0055085
FxaC_10g04820	GO:0004672
FxaC_10g04820	GO:0005509
FxaC_10g04820	GO:0005524
FxaC_10g04820	GO:0006468
FxaC_10g04880	GO:0004601
FxaC_10g04880	GO:0006979
FxaC_10g04880	GO:0020037
FxaC_10g04880	GO:0055114
FxaC_10g04891	GO:0015986
FxaC_10g04891	GO:0045261
FxaC_10g04891	GO:0046933
FxaC_10g05110	GO:0004047
FxaC_10g05110	GO:0005515
FxaC_10g05110	GO:0006546
FxaC_10g05220	GO:0030247
FxaC_10g05320	GO:0016020
FxaC_10g05510	GO:0005515
FxaC_10g05540	GO:0016491
FxaC_10g05540	GO:0055114
FxaC_10g05660	GO:0006672
FxaC_10g05660	GO:0006914
FxaC_10g05660	GO:0009651
FxaC_10g05660	GO:0016021
FxaC_10g05660	GO:0016811
FxaC_10g05690	GO:0003677
FxaC_10g05690	GO:0005634
FxaC_10g05690	GO:0006367
FxaC_10g05690	GO:0032968
FxaC_10g05700	GO:0009055
FxaC_10g05770	GO:0005094
FxaC_10g05770	GO:0005737
FxaC_10g06490	GO:0008299
FxaC_10g06490	GO:0016765
FxaC_10g06920	GO:0006869
FxaC_10g06920	GO:0008289
FxaC_10g07260	GO:0015035
FxaC_10g07940	GO:0003700
FxaC_10g07940	GO:0006351
FxaC_10g07940	GO:0009742
FxaC_10g08010	GO:0004672
FxaC_10g08010	GO:0005524
FxaC_10g08010	GO:0006468
FxaC_10g08500	GO:0016020
FxaC_10g08500	GO:0016760
FxaC_10g08500	GO:0030244
FxaC_10g09450	GO:0003677
FxaC_10g09450	GO:0003700
FxaC_10g09450	GO:0006355
FxaC_10g09490	GO:0008194
FxaC_10g10040	GO:0003677
FxaC_10g10040	GO:0003700
FxaC_10g10040	GO:0005634
FxaC_10g10040	GO:0009908
FxaC_10g10720	GO:0009522
FxaC_10g10720	GO:0015979
FxaC_10g10720	GO:0016020
FxaC_10g11290	GO:0005216
FxaC_10g11290	GO:0006811
FxaC_10g11290	GO:0016020
FxaC_10g11290	GO:0055085
FxaC_10g11320	GO:0004672
FxaC_10g11320	GO:0005509
FxaC_10g11320	GO:0005524
FxaC_10g11320	GO:0006468
FxaC_10g11320	GO:0030247
FxaC_10g11590	GO:0016491
FxaC_10g11590	GO:0050660
FxaC_10g11590	GO:0055114
FxaC_10g11590	GO:0071949
FxaC_10g11591	GO:0016491
FxaC_10g11591	GO:0050660
FxaC_10g11591	GO:0055114
FxaC_10g12380	GO:0004751
FxaC_10g12380	GO:0009052
FxaC_10g12390	GO:0005506
FxaC_10g12390	GO:0016705
FxaC_10g12390	GO:0020037
FxaC_10g12390	GO:0055114
FxaC_10g12400	GO:0003824
FxaC_10g12400	GO:0004553
FxaC_10g12400	GO:0005975
FxaC_10g12400	GO:0030246
FxaC_10g13960	GO:0004650
FxaC_10g17620	GO:0005515
