ID	GO_ID
FxaC_10g03870	GO:0000287
FxaC_10g03870	GO:0010333
FxaC_10g03870	GO:0016829
FxaC_10g09170	GO:0003824
FxaC_10g09170	GO:0030976
FxaC_10g17670	GO:0005515
FxaC_10g17670	GO:0006749
FxaC_10g32390	GO:0044183
FxaC_10g32390	GO:0110102
FxaC_11g11080	GO:0005515
FxaC_11g15330	GO:0005515
FxaC_11g15330	GO:0006749
FxaC_11g23390	GO:0004553
FxaC_11g23390	GO:0005975
FxaC_11g40760	GO:0016747
FxaC_13g00400	GO:0003824
FxaC_13g00400	GO:0004356
FxaC_13g00400	GO:0006542
FxaC_13g00400	GO:0006807
FxaC_13g01761	GO:0006812
FxaC_13g01761	GO:0015299
FxaC_13g01761	GO:0016021
FxaC_13g01761	GO:0055085
FxaC_13g09910	GO:0005524
FxaC_13g09910	GO:0006457
FxaC_13g09910	GO:0016887
FxaC_13g09910	GO:0051082
FxaC_13g11510	GO:0016020
FxaC_13g11510	GO:0022857
FxaC_13g11510	GO:0055085
FxaC_13g17020	GO:0016020
FxaC_13g17020	GO:0022857
FxaC_13g17020	GO:0055085
FxaC_13g46911	GO:0005515
FxaC_15g03530	GO:0004553
FxaC_15g03530	GO:0005975
FxaC_15g19110	GO:0016021
FxaC_15g19110	GO:0016757
FxaC_16g05050	GO:0008519
FxaC_16g05050	GO:0015696
FxaC_16g05050	GO:0016020
FxaC_16g05050	GO:0072488
FxaC_16g07180	GO:0005515
FxaC_16g11710	GO:0016787
FxaC_17g01530	GO:0016491
FxaC_17g01530	GO:0055114
FxaC_17g03530	GO:0004553
FxaC_17g03530	GO:0005975
FxaC_17g04920	GO:0003950
FxaC_17g27630	GO:0001522
FxaC_17g27630	GO:0003723
FxaC_17g27630	GO:0006396
FxaC_17g27630	GO:0009451
FxaC_17g27630	GO:0009982
FxaC_18g45220	GO:0016491
FxaC_18g45220	GO:0055114
FxaC_19g40790	GO:0006809
FxaC_19g40790	GO:0016491
FxaC_19g40790	GO:0030151
FxaC_19g40790	GO:0042128
FxaC_19g40790	GO:0050464
FxaC_19g40790	GO:0055114
FxaC_1g34540	GO:0005515
FxaC_1g34540	GO:0006749
FxaC_20g07490	GO:0010167
FxaC_20g07490	GO:0015706
FxaC_21g14270	GO:0005507
FxaC_21g14270	GO:0016491
FxaC_21g14270	GO:0055114
FxaC_21g16050	GO:0005524
FxaC_21g16050	GO:0006457
FxaC_21g16050	GO:0016887
FxaC_21g16050	GO:0051082
FxaC_21g33790	GO:0016021
FxaC_21g33790	GO:0022857
FxaC_21g33790	GO:0055085
FxaC_21g37970	GO:0003824
FxaC_21g49862	GO:0005515
FxaC_21g49911	GO:0005515
FxaC_21g50650	GO:0005515
FxaC_21g50650	GO:0006749
FxaC_21g58890	GO:0006869
FxaC_21g58890	GO:0008289
FxaC_21g66350	GO:0006633
FxaC_22g01510	GO:0055114
FxaC_22g14030	GO:0005524
FxaC_22g14030	GO:0006457
FxaC_22g14030	GO:0016887
FxaC_22g14030	GO:0051082
FxaC_22g17360	GO:0008194
FxaC_22g17370	GO:0008194
