ID	GO_ID
FxaC_10g03090	GO:0005509
FxaC_10g03090	GO:0016491
FxaC_10g03090	GO:0055114
FxaC_10g03600	GO:0004672
FxaC_10g03600	GO:0005524
FxaC_10g03600	GO:0006468
FxaC_10g03600	GO:0048544
FxaC_10g05140	GO:0008168
FxaC_10g06420	GO:0016746
FxaC_10g06420	GO:0016747
FxaC_10g13990	GO:0005385
FxaC_10g13990	GO:0016020
FxaC_10g13990	GO:0016021
FxaC_10g13990	GO:0030001
FxaC_10g13990	GO:0046873
FxaC_10g13990	GO:0055085
FxaC_10g13990	GO:0071577
FxaC_10g15550	GO:0006812
FxaC_10g15550	GO:0008324
FxaC_10g15550	GO:0016021
FxaC_10g15550	GO:0055085
FxaC_10g17670	GO:0005515
FxaC_10g17670	GO:0006749
FxaC_10g32800	GO:0016787
FxaC_10g33392	GO:0016020
FxaC_10g35060	GO:0046872
FxaC_10g43041	GO:0003824
FxaC_10g43041	GO:0016788
FxaC_10g44760	GO:0005515
FxaC_10g45280	GO:0003700
FxaC_10g45280	GO:0006355
FxaC_10g45280	GO:0043565
FxaC_11g00810	GO:0005509
FxaC_11g00810	GO:0016491
FxaC_11g00810	GO:0055114
FxaC_11g07680	GO:0005524
FxaC_11g07680	GO:0016021
FxaC_11g07680	GO:0042626
FxaC_11g07680	GO:0055085
FxaC_11g11080	GO:0005515
FxaC_11g11650	GO:0005385
FxaC_11g11650	GO:0016020
FxaC_11g11650	GO:0016021
FxaC_11g11650	GO:0030001
FxaC_11g11650	GO:0046873
FxaC_11g11650	GO:0055085
FxaC_11g11650	GO:0071577
FxaC_11g15330	GO:0005515
FxaC_11g15330	GO:0006749
FxaC_11g15640	GO:0016491
FxaC_11g15640	GO:0055114
FxaC_11g23110	GO:0003700
FxaC_11g23110	GO:0006355
FxaC_11g23110	GO:0043565
FxaC_11g37550	GO:0004553
FxaC_11g37550	GO:0005975
FxaC_11g38280	GO:0004672
FxaC_11g38280	GO:0005515
FxaC_11g38280	GO:0005524
FxaC_11g38280	GO:0006468
FxaC_11g41520	GO:0008194
FxaC_11g45690	GO:0004553
FxaC_11g45690	GO:0005975
FxaC_12g04000	GO:0008299
FxaC_12g04000	GO:0016765
FxaC_12g10080	GO:0004553
FxaC_12g10080	GO:0005975
FxaC_12g22481	GO:0005515
FxaC_12g37340	GO:0005385
FxaC_12g37340	GO:0016020
FxaC_12g37340	GO:0016021
FxaC_12g37340	GO:0030001
FxaC_12g37340	GO:0046873
FxaC_12g37340	GO:0055085
FxaC_12g37340	GO:0071577
FxaC_12g39440	GO:0016491
FxaC_12g39440	GO:0050660
FxaC_12g39440	GO:0055114
FxaC_12g39440	GO:0071949
FxaC_12g40460	GO:0005524
FxaC_12g40460	GO:0016021
FxaC_12g40460	GO:0042626
FxaC_12g40460	GO:0055085
FxaC_12g46600	GO:0005509
FxaC_12g46600	GO:0016491
FxaC_12g46600	GO:0055114
FxaC_12g46720	GO:0046855
FxaC_12g47020	GO:0004672
FxaC_12g47020	GO:0004674
FxaC_12g47020	GO:0005524
FxaC_12g47020	GO:0006468
FxaC_12g47020	GO:0048544
FxaC_12g48990	GO:0004190
FxaC_12g48990	GO:0006508
FxaC_12g48990	GO:0006629
FxaC_12g49000	GO:0003700
FxaC_12g49000	GO:0006355
FxaC_12g49000	GO:0043565
FxaC_13g00260	GO:0005506
FxaC_13g00260	GO:0016705
FxaC_13g00260	GO:0020037
FxaC_13g00260	GO:0055114
FxaC_13g11190	GO:0005506
FxaC_13g11190	GO:0016705
FxaC_13g11190	GO:0020037
FxaC_13g11190	GO:0055114
FxaC_13g18000	GO:0003824
FxaC_13g18000	GO:0009058
FxaC_13g25330	GO:0016491
FxaC_13g25330	GO:0055114
FxaC_13g26950	GO:0010215
FxaC_13g26950	GO:0031225
FxaC_13g27300	GO:0004864
FxaC_13g27300	GO:0006952
FxaC_13g27300	GO:0009738
FxaC_13g27300	GO:0010427
FxaC_13g27300	GO:0038023
FxaC_13g27740	GO:0015297
FxaC_13g27740	GO:0016020
FxaC_13g27740	GO:0042910
FxaC_13g27740	GO:0055085
FxaC_13g30440	GO:0008194
FxaC_13g32830	GO:0016787
FxaC_13g34930	GO:0006979
FxaC_13g34930	GO:0016671
FxaC_13g34930	GO:0030091
FxaC_13g34930	GO:0033743
FxaC_13g34930	GO:0055114
FxaC_13g35750	GO:0005506
FxaC_13g35750	GO:0016705
FxaC_13g35750	GO:0020037
FxaC_13g35750	GO:0055114
FxaC_13g39300	GO:0004568
FxaC_13g39300	GO:0005975
FxaC_13g39300	GO:0006032
FxaC_13g39300	GO:0016998
FxaC_14g06620	GO:0005634
FxaC_14g06620	GO:0006334
FxaC_14g10080	GO:0008270
FxaC_14g10080	GO:0009086
FxaC_14g10080	GO:0047150
FxaC_14g15920	GO:0003677
FxaC_14g15920	GO:0003700
FxaC_14g15920	GO:0006355
FxaC_14g17280	GO:0005515
FxaC_14g17500	GO:0055085
FxaC_14g19330	GO:0000160
FxaC_14g19330	GO:0003677
FxaC_14g19330	GO:0003700
FxaC_14g19330	GO:0007165
FxaC_14g19370	GO:0000160
FxaC_14g19370	GO:0003677
FxaC_14g19370	GO:0003700
FxaC_14g19370	GO:0007165
FxaC_14g20310	GO:0005544
FxaC_14g20310	GO:0060548
FxaC_14g22560	GO:0006979
FxaC_14g22560	GO:0016671
FxaC_14g22560	GO:0030091
FxaC_14g22560	GO:0033743
FxaC_14g22560	GO:0055114
FxaC_14g25670	GO:0005515
FxaC_14g27420	GO:0047834
FxaC_14g28480	GO:0005515
FxaC_14g29720	GO:0005524
FxaC_14g29720	GO:0016021
FxaC_14g29720	GO:0042626
FxaC_14g29720	GO:0055085
FxaC_14g29930	GO:0004568
FxaC_14g29930	GO:0005975
FxaC_14g29930	GO:0006032
FxaC_14g29930	GO:0016998
FxaC_15g02980	GO:0004089
FxaC_15g02980	GO:0008270
FxaC_15g11000	GO:0046983
FxaC_15g18900	GO:0005515
FxaC_15g24970	GO:0008194
FxaC_15g25520	GO:0047834
FxaC_15g30140	GO:0004553
FxaC_15g30140	GO:0005618
FxaC_15g30140	GO:0005975
FxaC_15g30140	GO:0006073
FxaC_15g30140	GO:0010411
FxaC_15g30140	GO:0016762
FxaC_15g30140	GO:0042546
FxaC_15g30140	GO:0048046
FxaC_15g40650	GO:0004362
FxaC_15g40650	GO:0006749
FxaC_15g40650	GO:0016491
FxaC_15g40650	GO:0045454
FxaC_15g40650	GO:0050660
FxaC_15g40650	GO:0050661
FxaC_15g40650	GO:0055114
FxaC_16g00420	GO:0004362
FxaC_16g00420	GO:0006749
FxaC_16g00420	GO:0016491
FxaC_16g00420	GO:0045454
FxaC_16g00420	GO:0050660
FxaC_16g00420	GO:0050661
FxaC_16g00420	GO:0055114
FxaC_16g11710	GO:0016787
FxaC_16g23140	GO:0009058
FxaC_16g23140	GO:0016844
FxaC_16g26570	GO:0016020
FxaC_16g26570	GO:0022857
FxaC_16g26570	GO:0055085
FxaC_16g27530	GO:0008168
FxaC_16g28860	GO:0042138
FxaC_16g28870	GO:0004594
FxaC_16g28870	GO:0005524
FxaC_16g28870	GO:0015937
FxaC_17g00120	GO:0005515
FxaC_17g01530	GO:0016491
FxaC_17g01530	GO:0055114
FxaC_17g01630	GO:0004421
FxaC_17g01630	GO:0006084
FxaC_17g01630	GO:0008299
FxaC_17g01630	GO:0010142
FxaC_17g01630	GO:0016746
FxaC_17g02200	GO:0055114
FxaC_17g07680	GO:0003950
FxaC_17g09420	GO:0003824
FxaC_17g09420	GO:0018580
FxaC_17g09420	GO:0055114
FxaC_17g18560	GO:0055085
FxaC_17g30710	GO:0016020
FxaC_17g30710	GO:0016760
FxaC_17g30710	GO:0030244
FxaC_17g30840	GO:0004553
FxaC_17g30840	GO:0005618
