ID	GO_ID
FxaC_10g08241	GO:0003824
FxaC_10g08241	GO:0005992
FxaC_10g12390	GO:0005506
FxaC_10g12390	GO:0016705
FxaC_10g12390	GO:0020037
FxaC_10g12390	GO:0055114
FxaC_10g18310	GO:0004497
FxaC_10g18310	GO:0005506
FxaC_10g18310	GO:0016705
FxaC_10g18310	GO:0020037
FxaC_10g18310	GO:0055114
FxaC_10g22150	GO:0003677
FxaC_10g22150	GO:0006355
FxaC_10g26020	GO:0004553
FxaC_10g26020	GO:0005975
FxaC_10g32410	GO:0015297
FxaC_10g32410	GO:0016020
FxaC_10g32410	GO:0042910
FxaC_10g32410	GO:0055085
FxaC_10g34640	GO:0000786
FxaC_10g34640	GO:0003677
FxaC_10g34640	GO:0046982
FxaC_10g39710	GO:0000786
FxaC_10g39710	GO:0003677
FxaC_10g39710	GO:0046982
FxaC_10g42740	GO:0005506
FxaC_10g42740	GO:0016705
FxaC_10g42740	GO:0020037
FxaC_10g42740	GO:0055114
FxaC_10g43800	GO:0004066
FxaC_10g43800	GO:0006529
FxaC_10g44260	GO:0005515
FxaC_10g47541	GO:0005515
FxaC_10g47550	GO:0012511
FxaC_10g47550	GO:0016021
FxaC_10g47550	GO:0006784
FxaC_10g47550	GO:0016020
FxaC_10g47550	GO:0016627
FxaC_10g47550	GO:0055114
FxaC_11g05510	GO:0006508
FxaC_11g05510	GO:0008234
FxaC_11g06200	GO:0004672
FxaC_11g06200	GO:0005515
FxaC_11g06200	GO:0005524
FxaC_11g06200	GO:0006468
FxaC_11g11350	GO:0015079
FxaC_11g11350	GO:0016020
FxaC_11g11350	GO:0071805
FxaC_11g16270	GO:0005506
FxaC_11g16270	GO:0016705
FxaC_11g16270	GO:0020037
FxaC_11g16270	GO:0055114
FxaC_11g23390	GO:0004553
FxaC_11g23390	GO:0005975
FxaC_11g31590	GO:0000786
FxaC_11g31590	GO:0003677
FxaC_11g31590	GO:0046982
FxaC_11g34990	GO:0016021
FxaC_11g36610	GO:0003677
FxaC_11g36610	GO:0046982
FxaC_11g36720	GO:0000786
FxaC_11g36720	GO:0003677
FxaC_11g36720	GO:0046982
FxaC_11g38580	GO:0016791
FxaC_11g38930	GO:0008194
FxaC_11g38940	GO:0008194
FxaC_11g40760	GO:0016747
FxaC_11g40880	GO:0004066
FxaC_11g40880	GO:0006529
FxaC_12g07090	GO:0005515
FxaC_12g07350	GO:0004066
FxaC_12g07350	GO:0006529
FxaC_12g11430	GO:0003677
FxaC_12g11430	GO:0046982
FxaC_12g32760	GO:0016491
FxaC_12g32760	GO:0055114
FxaC_12g32810	GO:0005506
FxaC_12g32810	GO:0016705
FxaC_12g32810	GO:0020037
FxaC_12g32810	GO:0055114
FxaC_12g32840	GO:0004866
FxaC_12g32990	GO:0005506
FxaC_12g32990	GO:0016705
FxaC_12g32990	GO:0020037
FxaC_12g32990	GO:0055114
FxaC_12g33230	GO:0005506
FxaC_12g33230	GO:0016705
FxaC_12g33230	GO:0020037
FxaC_12g33230	GO:0055114
FxaC_12g34060	GO:0003700
FxaC_12g34060	GO:0006355
FxaC_12g34060	GO:0043565
FxaC_12g34890	GO:0015079
FxaC_12g34890	GO:0016020
FxaC_12g34890	GO:0071805
FxaC_12g36910	GO:0004672
FxaC_12g36910	GO:0005515
FxaC_12g36910	GO:0005524
FxaC_12g36910	GO:0006468
FxaC_12g39670	GO:0016791
FxaC_12g39830	GO:0016491
FxaC_12g39830	GO:0050660
FxaC_12g39830	GO:0055114
FxaC_12g39830	GO:0071949
FxaC_12g43560	GO:0004553
FxaC_12g43560	GO:0005618
FxaC_12g43560	GO:0005975
FxaC_12g43560	GO:0006073
FxaC_12g43560	GO:0010411
FxaC_12g43560	GO:0016762
FxaC_12g43560	GO:0042546
FxaC_12g43560	GO:0048046
FxaC_12g49820	GO:0005515
FxaC_13g02840	GO:0016787
FxaC_13g03470	GO:0042138
FxaC_13g04770	GO:0005384
FxaC_13g04770	GO:0030026
FxaC_13g05851	GO:0004185
FxaC_13g05851	GO:0006508
FxaC_13g17180	GO:0006633
FxaC_13g17180	GO:0016020
FxaC_13g17180	GO:0016746
FxaC_13g17180	GO:0016747
FxaC_13g25800	GO:0004857
FxaC_13g29250	GO:0005506
FxaC_13g29250	GO:0016705
FxaC_13g29250	GO:0020037
