ID	GO_ID
FxaC_10g02100	GO:0006629
FxaC_10g02100	GO:0016021
FxaC_10g02100	GO:0030148
FxaC_10g02100	GO:0042284
FxaC_10g02910	GO:0006355
FxaC_10g02910	GO:0040008
FxaC_10g02910	GO:0046983
FxaC_10g03680	GO:0004672
FxaC_10g03680	GO:0004674
FxaC_10g03680	GO:0005524
FxaC_10g03680	GO:0006468
FxaC_10g03680	GO:0048544
FxaC_10g03810	GO:0000287
FxaC_10g03810	GO:0010333
FxaC_10g03810	GO:0016829
FxaC_10g03870	GO:0000287
FxaC_10g03870	GO:0010333
FxaC_10g03870	GO:0016829
FxaC_10g05170	GO:0004190
FxaC_10g05170	GO:0006508
FxaC_10g05170	GO:0006629
FxaC_10g05171	GO:0003700
FxaC_10g05171	GO:0006355
FxaC_10g05171	GO:0043565
FxaC_10g05380	GO:0006633
FxaC_10g05380	GO:0050080
FxaC_10g10670	GO:0004672
FxaC_10g10670	GO:0005524
FxaC_10g10670	GO:0006468
FxaC_10g18600	GO:0003824
FxaC_10g18600	GO:0003825
FxaC_10g18600	GO:0005992
FxaC_10g33391	GO:0005524
FxaC_10g33391	GO:0016020
FxaC_10g33391	GO:0042626
FxaC_10g33392	GO:0016020
FxaC_10g34430	GO:0006508
FxaC_10g34430	GO:0008236
FxaC_10g44760	GO:0005515
FxaC_10g46070	GO:0005506
FxaC_10g46070	GO:0016705
FxaC_10g46070	GO:0020037
FxaC_10g46070	GO:0055114
FxaC_11g00810	GO:0005509
FxaC_11g00810	GO:0016491
FxaC_11g00810	GO:0055114
FxaC_11g02860	GO:0016702
FxaC_11g02860	GO:0055114
FxaC_11g04730	GO:0009082
FxaC_11g04730	GO:1990610
FxaC_11g11650	GO:0005385
FxaC_11g11650	GO:0016020
FxaC_11g11650	GO:0016021
FxaC_11g11650	GO:0030001
FxaC_11g11650	GO:0046873
FxaC_11g11650	GO:0055085
FxaC_11g11650	GO:0071577
FxaC_11g12220	GO:0003824
FxaC_11g12220	GO:0006281
FxaC_11g12220	GO:0006284
FxaC_11g12220	GO:0008725
FxaC_11g13320	GO:0004672
FxaC_11g13320	GO:0005515
FxaC_11g13320	GO:0005524
FxaC_11g13320	GO:0006468
FxaC_11g13910	GO:0006511
FxaC_11g15330	GO:0005515
FxaC_11g15330	GO:0006749
FxaC_11g18420	GO:0004672
FxaC_11g18420	GO:0005524
FxaC_11g18420	GO:0006468
FxaC_11g18420	GO:0030246
FxaC_11g20020	GO:0003677
FxaC_11g20020	GO:0006355
FxaC_11g23390	GO:0004553
FxaC_11g23390	GO:0005975
FxaC_11g35950	GO:0000145
FxaC_11g35950	GO:0006887
FxaC_11g40760	GO:0016747
FxaC_11g42430	GO:0005576
FxaC_11g42430	GO:0009664
FxaC_11g42640	GO:0005506
FxaC_11g42640	GO:0016705
FxaC_11g42640	GO:0020037
FxaC_11g42640	GO:0055114
FxaC_11g44750	GO:0055085
FxaC_11g46940	GO:0006869
FxaC_11g46940	GO:0008289
FxaC_11g47190	GO:0010277
FxaC_11g47190	GO:0051537
FxaC_11g47190	GO:0055114
FxaC_12g01380	GO:0006869
FxaC_12g01380	GO:0008289
FxaC_12g02850	GO:0004553
FxaC_12g02850	GO:0005975
FxaC_12g02851	GO:0004553
FxaC_12g02851	GO:0005975
FxaC_12g04000	GO:0008299
FxaC_12g04000	GO:0016765
FxaC_12g05850	GO:0005506
FxaC_12g05850	GO:0016705
FxaC_12g05850	GO:0020037
FxaC_12g05850	GO:0055114
FxaC_12g22620	GO:0009055
FxaC_12g22620	GO:0022900
FxaC_12g22620	GO:0051536
FxaC_12g22620	GO:0051537
FxaC_12g23770	GO:0016021
FxaC_12g23770	GO:0016192
FxaC_12g23770	GO:0016787
FxaC_12g35420	GO:0006511
FxaC_12g40850	GO:0004672
FxaC_12g40850	GO:0005524
