ID	GO_ID
FxaC_10g00430	GO:0004553
FxaC_10g00430	GO:0005618
FxaC_10g00430	GO:0005975
FxaC_10g00430	GO:0006073
FxaC_10g00430	GO:0010411
FxaC_10g00430	GO:0016762
FxaC_10g00430	GO:0042546
FxaC_10g00430	GO:0048046
FxaC_10g01100	GO:0006633
FxaC_10g01100	GO:0016746
FxaC_10g01100	GO:0016747
FxaC_10g01180	GO:0003924
FxaC_10g01180	GO:0006807
FxaC_10g01180	GO:0016151
FxaC_10g01730	GO:0003824
FxaC_10g01730	GO:0004587
FxaC_10g01730	GO:0008483
FxaC_10g01730	GO:0030170
FxaC_10g01780	GO:0003756
FxaC_10g01780	GO:0005783
FxaC_10g01780	GO:0016671
FxaC_10g01780	GO:0055114
FxaC_10g02100	GO:0006629
FxaC_10g02100	GO:0016021
FxaC_10g02100	GO:0030148
FxaC_10g02100	GO:0042284
FxaC_10g02281	GO:0003824
FxaC_10g02800	GO:0003824
FxaC_10g02800	GO:0006281
FxaC_10g03940	GO:0003824
FxaC_10g04880	GO:0004601
FxaC_10g04880	GO:0006979
FxaC_10g04880	GO:0020037
FxaC_10g04880	GO:0055114
FxaC_10g05171	GO:0003700
FxaC_10g05171	GO:0006355
FxaC_10g05171	GO:0043565
FxaC_10g05561	GO:0009916
FxaC_10g05561	GO:0055114
FxaC_10g05890	GO:0004672
FxaC_10g05890	GO:0005524
FxaC_10g05890	GO:0006468
FxaC_10g06420	GO:0016746
FxaC_10g06420	GO:0016747
FxaC_10g06520	GO:0000166
FxaC_10g06520	GO:0006352
FxaC_10g06520	GO:0030880
FxaC_10g06520	GO:0044237
FxaC_10g06831	GO:0004672
FxaC_10g06831	GO:0006468
FxaC_10g07840	GO:0004672
FxaC_10g07840	GO:0005524
FxaC_10g07840	GO:0006468
FxaC_10g08710	GO:0006351
FxaC_10g08710	GO:0043565
FxaC_10g09770	GO:0006457
FxaC_10g09770	GO:0051082
FxaC_10g09780	GO:0004645
FxaC_10g09780	GO:0005975
FxaC_10g09780	GO:0008184
FxaC_10g09780	GO:0030170
FxaC_10g09900	GO:0003677
FxaC_10g09900	GO:0003700
FxaC_10g09900	GO:0006355
FxaC_10g10100	GO:0005515
FxaC_10g11160	GO:0004672
FxaC_10g11160	GO:0005524
FxaC_10g11160	GO:0006468
FxaC_10g11190	GO:0004672
FxaC_10g11190	GO:0005509
FxaC_10g11190	GO:0005524
FxaC_10g11190	GO:0006468
FxaC_10g11190	GO:0006952
FxaC_10g11190	GO:0016021
FxaC_10g11190	GO:0030247
FxaC_10g13420	GO:0005524
FxaC_10g13420	GO:0016887
FxaC_10g13420	GO:0042026
FxaC_10g13970	GO:0016787
FxaC_10g13970	GO:0016813
FxaC_10g14110	GO:0016787
FxaC_10g15630	GO:0006952
FxaC_10g15930	GO:0004618
FxaC_10g15930	GO:0006096
FxaC_10g16420	GO:0003824
FxaC_10g16420	GO:0006525
FxaC_10g16420	GO:0008483
FxaC_10g16420	GO:0030170
FxaC_10g16580	GO:0003824
FxaC_10g16580	GO:0030151
FxaC_10g16580	GO:0030170
FxaC_10g16911	GO:0005515
FxaC_10g18310	GO:0004497
FxaC_10g18310	GO:0005506
FxaC_10g18310	GO:0016705
FxaC_10g18310	GO:0020037
FxaC_10g18310	GO:0055114
FxaC_10g18360	GO:0008299
FxaC_10g19130	GO:0005975
FxaC_10g19660	GO:0046872
FxaC_10g20350	GO:0003677
FxaC_10g20350	GO:0003700
FxaC_10g20350	GO:0006355
FxaC_10g20361	GO:0043248
FxaC_10g20510	GO:0003824
FxaC_10g20510	GO:0006520
FxaC_10g20510	GO:0008483
FxaC_10g20510	GO:0009058
FxaC_10g20510	GO:0030170
FxaC_10g20511	GO:0003824
FxaC_10g20820	GO:0045735
FxaC_10g20840	GO:0003924
FxaC_10g20840	GO:0005525
FxaC_10g21800	GO:0006351
FxaC_10g21800	GO:0043565
FxaC_10g22150	GO:0003677
FxaC_10g22150	GO:0006355
FxaC_10g22421	GO:0003677
FxaC_10g22830	GO:0005216
FxaC_10g22830	GO:0006811
FxaC_10g22830	GO:0016020
FxaC_10g22830	GO:0055085
FxaC_10g23030	GO:0008270
FxaC_10g24161	GO:0005515
FxaC_10g25590	GO:0004190
FxaC_10g25590	GO:0006508
FxaC_10g25590	GO:0006629
FxaC_10g26540	GO:0005515
FxaC_10g26540	GO:0051015
FxaC_10g26540	GO:0051017
FxaC_10g27770	GO:0003950
FxaC_10g27770	GO:0006471
FxaC_10g27950	GO:0003700
FxaC_10g27950	GO:0045893
FxaC_10g27951	GO:0003700
FxaC_10g27951	GO:0006355
FxaC_10g27951	GO:0045893
FxaC_10g28220	GO:0004553
FxaC_10g28220	GO:0005975
FxaC_10g29430	GO:0015743
FxaC_10g29650	GO:0003924
FxaC_10g29650	GO:0005525
FxaC_10g30180	GO:0016491
FxaC_10g30180	GO:0055114
FxaC_10g30180	GO:0046872
FxaC_10g30180	GO:0050660
FxaC_10g30180	GO:0071949
FxaC_10g31650	GO:0003676
FxaC_10g31650	GO:0046872
FxaC_10g32270	GO:0003700
FxaC_10g32270	GO:0006355
FxaC_10g33490	GO:0005576
FxaC_10g33490	GO:0008083
FxaC_10g33490	GO:0008283
