ID	GO_ID
FxaC_10g00350	GO:0003824
FxaC_10g00350	GO:0003825
FxaC_10g00350	GO:0005992
FxaC_10g02090	GO:0016021
FxaC_10g02100	GO:0006629
FxaC_10g02100	GO:0016021
FxaC_10g02100	GO:0030148
FxaC_10g02100	GO:0042284
FxaC_10g02910	GO:0006355
FxaC_10g02910	GO:0040008
FxaC_10g02910	GO:0046983
FxaC_10g03810	GO:0000287
FxaC_10g03810	GO:0010333
FxaC_10g03810	GO:0016829
FxaC_10g03870	GO:0000287
FxaC_10g03870	GO:0010333
FxaC_10g03870	GO:0016829
FxaC_10g04350	GO:0005524
FxaC_10g04350	GO:0016772
FxaC_10g05360	GO:0004672
FxaC_10g05360	GO:0005524
FxaC_10g05360	GO:0006468
FxaC_10g05380	GO:0006633
FxaC_10g05380	GO:0050080
FxaC_10g05400	GO:0004672
FxaC_10g05400	GO:0005515
FxaC_10g05400	GO:0005524
FxaC_10g05400	GO:0006468
FxaC_10g08810	GO:0005515
FxaC_10g09610	GO:0004672
FxaC_10g09610	GO:0005524
FxaC_10g09610	GO:0006468
FxaC_10g10670	GO:0004672
FxaC_10g10670	GO:0005524
FxaC_10g10670	GO:0006468
FxaC_10g11080	GO:0080048
FxaC_10g13970	GO:0016787
FxaC_10g13970	GO:0016813
FxaC_10g14160	GO:0003824
FxaC_10g14160	GO:0030151
FxaC_10g14160	GO:0030170
FxaC_10g14540	GO:0046658
FxaC_10g14690	GO:0003883
FxaC_10g14690	GO:0006221
FxaC_10g18291	GO:0005506
FxaC_10g18291	GO:0016705
FxaC_10g18291	GO:0020037
FxaC_10g18291	GO:0055114
FxaC_10g20420	GO:0003677
FxaC_10g20420	GO:0006355
FxaC_10g20510	GO:0003824
FxaC_10g20510	GO:0006520
FxaC_10g20510	GO:0008483
FxaC_10g20510	GO:0009058
FxaC_10g20510	GO:0030170
FxaC_10g20820	GO:0045735
FxaC_10g22240	GO:0003677
FxaC_10g22240	GO:0006355
FxaC_10g22520	GO:0004672
FxaC_10g22520	GO:0005524
FxaC_10g22520	GO:0006468
FxaC_10g26540	GO:0005515
FxaC_10g26540	GO:0051015
FxaC_10g26540	GO:0051017
FxaC_10g27090	GO:0016788
FxaC_10g30080	GO:0005506
FxaC_10g30080	GO:0016705
FxaC_10g30080	GO:0020037
FxaC_10g30080	GO:0055114
FxaC_10g34360	GO:0006629
FxaC_10g34360	GO:0008081
FxaC_10g45770	GO:0005576
FxaC_10g45770	GO:0009664
FxaC_10g47800	GO:0004672
FxaC_10g47800	GO:0005515
FxaC_10g47800	GO:0005524
FxaC_10g47800	GO:0006468
FxaC_10g48460	GO:0004672
FxaC_10g48460	GO:0005524
FxaC_10g48460	GO:0006468
FxaC_10g48460	GO:0030246
FxaC_10g50670	GO:0003924
