sample_accession	experiment_accession	run_accession	base_count	fastq_ftp	sample_alias
SAMEA79724668	ERX1879920	ERR1817341	1769814112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817341/ERR1817341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817341/ERR1817341_2.fastq.gz	White_A
SAMEA79724668	ERX1879921	ERR1817342	4479868736	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1817342/ERR1817342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1817342/ERR1817342_2.fastq.gz	White_A
SAMEA79724668	ERX1879922	ERR1817343	4381675324	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1817343/ERR1817343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1817343/ERR1817343_2.fastq.gz	White_A
SAMEA79726168	ERX1879924	ERR1817345	3798972388	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817345/ERR1817345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817345/ERR1817345_2.fastq.gz	Red_A
SAMEA79726168	ERX1879927	ERR1817348	2610321600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817348/ERR1817348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817348/ERR1817348_2.fastq.gz	Red_A
SAMEA79726168	ERX1879928	ERR1817349	2552082800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1817349/ERR1817349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1817349/ERR1817349_2.fastq.gz	Red_A
SAMEA79725418	ERX1879932	ERR1817353	2488833400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1817353/ERR1817353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1817353/ERR1817353_2.fastq.gz	Turning _A
SAMEA79725418	ERX1879933	ERR1817354	4458859524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1817354/ERR1817354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1817354/ERR1817354_2.fastq.gz	Turning _A
SAMEA79725418	ERX1879934	ERR1817355	3485421928	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817355/ERR1817355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817355/ERR1817355_2.fastq.gz	Turning _A
SAMEA79723918	ERX1879937	ERR1817358	1646918524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817358/ERR1817358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817358/ERR1817358_2.fastq.gz	Green_A
SAMEA79723918	ERX1879939	ERR1817360	4018935642	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1817360/ERR1817360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1817360/ERR1817360_2.fastq.gz	Green_A
SAMEA79723918	ERX1879940	ERR1817361	4620336102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817361/ERR1817361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817361/ERR1817361_2.fastq.gz	Green_A
SAMEA79721668	ERX1879948	ERR1817369	5857984446	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1817369/ERR1817369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1817369/ERR1817369_2.fastq.gz	White_R
SAMEA79721668	ERX1879949	ERR1817370	4562959416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1817370/ERR1817370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1817370/ERR1817370_2.fastq.gz	White_R
SAMEA79721668	ERX1879950	ERR1817371	4519953616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817371/ERR1817371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1817371/ERR1817371_2.fastq.gz	White_R
SAMEA79723168	ERX1879954	ERR1817375	3664000028	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817375/ERR1817375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1817375/ERR1817375_2.fastq.gz	Red_R
